ag-cell-content-link,ag-cell-content-link href,ag-cell-content 3,ag-cell-content 6,ag-cell-content 7,ag-cell-content 8,ag-cell-content 9,ag-cell-content 10,ag-cell-content 11,ag-cell-content 12,ag-cell-content 13
Visakhapatnam,https://www.marinetraffic.com/en/ais/details/ports/3048/name=Visakhapatnam,52,0.1 days,HIGH,2.3 days,HIGH,1.0 days,2.2 days,-80.0%,4.5%
Vadinar,https://www.marinetraffic.com/en/ais/details/ports/559/name=Vadinar,52,0.8 days,MEDIUM,1.7 days,MEDIUM,0.8 days,0.4 days,-38.5%,13.3%
Tuticorin,https://www.marinetraffic.com/en/ais/details/ports/2986/name=Tuticorin,52,0.5 days,LOW,1.4 days,LOW,1.3 days,1.5 days,0.0%,7.7%
Sikka,https://www.marinetraffic.com/en/ais/details/ports/560/name=Sikka,52,1.9 days,LOW,1.6 days,LOW,1.5 days,0.7 days,5.6%,14.3%
Ratnagiri,https://www.marinetraffic.com/en/ais/details/ports/18952/name=Ratnagiri,52,0.6 days,LOW,8.5 days,LOW,0.4 days,10.6 days,-45.5%,844.4%
Port blair,https://www.marinetraffic.com/en/ais/details/ports/21891/name=Port-blair,52,LOW,4.9 days,LOW,32.4%,-,-,-,-
Porbandar,https://www.marinetraffic.com/en/ais/details/ports/538/name=Porbandar,52,1.6 days,MEDIUM,2.4 days,MEDIUM,1.9 days,0.8 days,100.0%,140.0%
Pipavav,https://www.marinetraffic.com/en/ais/details/ports/533/name=Pipavav,52,0.6 days,LOW,0.8 days,LOW,0.9 days,1.4 days,-57.1%,-20.0%
Paradip,https://www.marinetraffic.com/en/ais/details/ports/17379/name=Paradip,52,1.2 days,LOW,1.6 days,LOW,1.5 days,0.8 days,-7.7%,6.7%
Nhava sheva,https://www.marinetraffic.com/en/ais/details/ports/2713/name=Nhava-sheva,52,0.2 days,HIGH,1.0 days,HIGH,3.5 days,2.0 days,-75.0%,0.0%
Navlakhi,https://www.marinetraffic.com/en/ais/details/ports/21448/name=Navlakhi,52,0.8 days,MEDIUM,0.4 days,MEDIUM,0.0 days,0.7 days,0.0%,-63.6%
Mundra,https://www.marinetraffic.com/en/ais/details/ports/268/name=Mundra,52,0.2 days,LOW,1.0 days,LOW,1.0 days,1.0 days,0.0%,11.1%
Mumbai,https://www.marinetraffic.com/en/ais/details/ports/2341/name=Mumbai,52,0.7 days,LOW,1.4 days,LOW,1.8 days,1.8 days,-36.4%,7.7%
Mormugao,https://www.marinetraffic.com/en/ais/details/ports/561/name=Mormugao,52,0.2 days,LOW,2.6 days,LOW,2.7 days,5.4 days,0.0%,36.8%
Mangalore,https://www.marinetraffic.com/en/ais/details/ports/17383/name=Mangalore,52,0.9 days,LOW,1.6 days,LOW,1.7 days,1.0 days,-10.0%,23.1%
Magdalla,https://www.marinetraffic.com/en/ais/details/ports/19704/name=Magdalla,52,0.7 days,LOW,0.5 days,LOW,0.4 days,0.4 days,133.3%,-50.0%
Krishnapatnam,https://www.marinetraffic.com/en/ais/details/ports/1317/name=Krishnapatnam,52,0.9 days,LOW,3.2 days,LOW,5.2 days,2.9 days,350.0%,18.5%
Kolkata,https://www.marinetraffic.com/en/ais/details/ports/2806/name=Kolkata,52,0.7 days,LOW,4.2 days,LOW,0.3 days,10.0 days,-22.2%,50.0%
Kochi,https://www.marinetraffic.com/en/ais/details/ports/2990/name=Kochi,52,0.2 days,LOW,0.8 days,LOW,0.7 days,1.4 days,-33.3%,-33.3%
Kattupalli,https://www.marinetraffic.com/en/ais/details/ports/18979/name=Kattupalli,52,0.0 days,LOW,0.6 days,LOW,0.3 days,0.2 days,-100.0%,-45.5%
Karwar,https://www.marinetraffic.com/en/ais/details/ports/557/name=Karwar,52,2.7 days,MEDIUM,1.8 days,MEDIUM,1.0 days,-3.6%,5.9%,-
Karaikal,https://www.marinetraffic.com/en/ais/details/ports/18978/name=Karaikal,52,MEDIUM,4.8 days,MEDIUM,0.0 days,-2.0%,-,-,-
Kandla,https://www.marinetraffic.com/en/ais/details/ports/269/name=Kandla,52,1.6 days,HIGH,1.7 days,HIGH,2.4 days,1.9 days,-33.3%,-26.1%
Kakinada,https://www.marinetraffic.com/en/ais/details/ports/18914/name=Kakinada,52,1.0 days,HIGH,6.0 days,HIGH,1.8 days,7.3 days,-56.5%,-7.7%
Jaigad,https://www.marinetraffic.com/en/ais/details/ports/18951/name=Jaigad,52,0.4 days,LOW,0.6 days,LOW,0.6 days,1.5 days,100.0%,-25.0%
Jafrabad,https://www.marinetraffic.com/en/ais/details/ports/3078/name=Jafrabad,52,0.9 days,LOW,0.6 days,LOW,0.4 days,0.3 days,28.6%,50.0%
Hazira,https://www.marinetraffic.com/en/ais/details/ports/537/name=Hazira,52,0.8 days,HIGH,1.1 days,HIGH,2.0 days,2.0 days,-20.0%,-8.3%
Haldia,https://www.marinetraffic.com/en/ais/details/ports/18985/name=Haldia,52,0.9 days,LOW,2.0 days,LOW,2.0 days,1.4 days,-10.0%,5.3%
Gangavaram,https://www.marinetraffic.com/en/ais/details/ports/18980/name=Gangavaram,52,0.0 days,LOW,3.2 days,LOW,3.1 days,-100.0%,10.3%,-
Ennore,https://www.marinetraffic.com/en/ais/details/ports/791/name=Ennore,52,0.5 days,LOW,1.1 days,LOW,2.5 days,1.0 days,0.0%,-21.4%
Dharamtar,https://www.marinetraffic.com/en/ais/details/ports/21601/name=Dharamtar,52,1.1 days,LOW,0.6 days,LOW,1.2 days,0.4 days,37.5%,20.0%
Dhamra,https://www.marinetraffic.com/en/ais/details/ports/20607/name=Dhamra,52,0.3 days,LOW,2.5 days,LOW,0.9 days,1.9 days,-70.0%,-39.0%
Dahej,https://www.marinetraffic.com/en/ais/details/ports/535/name=Dahej,52,0.3 days,LOW,1.1 days,LOW,2.8 days,2.6 days,-25.0%,-21.4%
