ag-cell-content-link,ag-cell-content-link href,ag-cell-content 3,ag-cell-content 6,ag-cell-content 7,ag-cell-content 8,ag-cell-content 9,ag-cell-content 10,ag-cell-content 11,ag-cell-content 12,ag-cell-content 13
Dabhol,https://www.marinetraffic.com/en/ais/details/ports/18950/name=Dabhol,52,0.0 days,MEDIUM,1.2 days,MEDIUM,-100.0%,9.1%,-,-
Cuddalore,https://www.marinetraffic.com/en/ais/details/ports/24893/name=Cuddalore,52,1.0 days,MEDIUM,0.9 days,MEDIUM,-72.2%,-87.5%,-,-
Chennai,https://www.marinetraffic.com/en/ais/details/ports/792/name=Chennai,52,0.1 days,LOW,1.7 days,LOW,0.9 days,5.0 days,0.0%,-15.0%
Beypore,https://www.marinetraffic.com/en/ais/details/ports/18969/name=Beypore,52,1.1 days,LOW,3.7 days,LOW,1.3 days,3.1 days,-7.5%,-
Visakhapatnam,https://www.marinetraffic.com/en/ais/details/ports/3048/name=Visakhapatnam,51,0.5 days,LOW,2.2 days,LOW,2.1 days,2.1 days,-28.6%,22.2%
Vadinar,https://www.marinetraffic.com/en/ais/details/ports/559/name=Vadinar,51,1.3 days,HIGH,1.5 days,HIGH,1.3 days,0.4 days,44.4%,-11.8%
Tuticorin,https://www.marinetraffic.com/en/ais/details/ports/2986/name=Tuticorin,51,0.5 days,HIGH,1.3 days,HIGH,0.8 days,6.5 days,25.0%,0.0%
Sikka,https://www.marinetraffic.com/en/ais/details/ports/560/name=Sikka,51,1.8 days,LOW,1.4 days,LOW,1.8 days,0.7 days,38.5%,-12.5%
Ratnagiri,https://www.marinetraffic.com/en/ais/details/ports/18952/name=Ratnagiri,51,1.1 days,LOW,0.9 days,LOW,1.1 days,0.6 days,10.0%,125.0%
Ranpar,https://www.marinetraffic.com/en/ais/details/ports/18953/name=Ranpar,51,1.1 days,MEDIUM,1.1 days,MEDIUM,1.3 days,0.8 days,-35.3%,-31.3%
Port blair,https://www.marinetraffic.com/en/ais/details/ports/21891/name=Port-blair,51,0.3 days,MEDIUM,3.7 days,MEDIUM,0.3 days,-5.1%,-,-
Porbandar,https://www.marinetraffic.com/en/ais/details/ports/538/name=Porbandar,51,0.4 days,MEDIUM,2.3 days,MEDIUM,1.6 days,0.3 days,-90.0%,15.0%
Pipavav,https://www.marinetraffic.com/en/ais/details/ports/533/name=Pipavav,51,0.5 days,HIGH,0.7 days,HIGH,2.6 days,0.3 days,0.0%,-12.5%
Paradip,https://www.marinetraffic.com/en/ais/details/ports/17379/name=Paradip,51,1.3 days,LOW,1.5 days,LOW,1.4 days,1.7 days,-7.1%,-11.8%
Okha,https://www.marinetraffic.com/en/ais/details/ports/558/name=Okha,51,13.9 days,MEDIUM,1.0 days,MEDIUM,1163.6%,-80.8%,-,-
Nhava sheva,https://www.marinetraffic.com/en/ais/details/ports/2713/name=Nhava-sheva,51,0.8 days,HIGH,1.0 days,HIGH,1.6 days,3.8 days,60.0%,0.0%
Navlakhi,https://www.marinetraffic.com/en/ais/details/ports/21448/name=Navlakhi,51,0.8 days,HIGH,1.1 days,HIGH,0.6 days,1.1 days,0.0%,-78.8%
Mundra,https://www.marinetraffic.com/en/ais/details/ports/268/name=Mundra,51,0.2 days,HIGH,0.9 days,HIGH,0.9 days,1.0 days,-33.3%,-10.0%
Mumbai,https://www.marinetraffic.com/en/ais/details/ports/2341/name=Mumbai,51,1.1 days,LOW,1.3 days,LOW,11.4 days,2.2 days,22.2%,18.2%
Mormugao,https://www.marinetraffic.com/en/ais/details/ports/561/name=Mormugao,51,0.2 days,LOW,1.9 days,LOW,1.3 days,1.3 days,100.0%,35.7%
Mangalore,https://www.marinetraffic.com/en/ais/details/ports/17383/name=Mangalore,51,1.0 days,LOW,1.3 days,LOW,1.9 days,0.8 days,-28.6%,-18.8%
Magdalla,https://www.marinetraffic.com/en/ais/details/ports/19704/name=Magdalla,51,0.3 days,LOW,1.0 days,LOW,0.4 days,1.9 days,-57.1%,25.0%
Krishnapatnam,https://www.marinetraffic.com/en/ais/details/ports/1317/name=Krishnapatnam,51,0.2 days,HIGH,2.7 days,HIGH,0.5 days,1.9 days,-92.6%,0.0%
Kolkata,https://www.marinetraffic.com/en/ais/details/ports/2806/name=Kolkata,51,0.9 days,HIGH,2.8 days,HIGH,0.8 days,1.6 days,-35.7%,0.0%
Kochi,https://www.marinetraffic.com/en/ais/details/ports/2990/name=Kochi,51,0.3 days,LOW,1.2 days,LOW,2.9 days,5.2 days,-40.0%,20.0%
Kattupalli,https://www.marinetraffic.com/en/ais/details/ports/18979/name=Kattupalli,51,0.1 days,LOW,1.1 days,LOW,2.6 days,9.6 days,-80.0%,83.3%
Karwar,https://www.marinetraffic.com/en/ais/details/ports/557/name=Karwar,51,2.8 days,MEDIUM,1.7 days,MEDIUM,2.4 days,1.6 days,211.1%,-45.2%
Karaikal,https://www.marinetraffic.com/en/ais/details/ports/18978/name=Karaikal,51,0.5 days,LOW,2.1 days,LOW,0.6 days,-25.0%,-,-
Kandla,https://www.marinetraffic.com/en/ais/details/ports/269/name=Kandla,51,2.4 days,LOW,2.3 days,LOW,3.5 days,2.0 days,9.1%,27.8%
Kakinada,https://www.marinetraffic.com/en/ais/details/ports/18914/name=Kakinada,51,2.3 days,LOW,6.5 days,LOW,2.8 days,10.0 days,-58.2%,75.7%
Jaigad,https://www.marinetraffic.com/en/ais/details/ports/18951/name=Jaigad,51,0.2 days,HIGH,0.8 days,HIGH,0.6 days,1.6 days,100.0%,60.0%
Jafrabad,https://www.marinetraffic.com/en/ais/details/ports/3078/name=Jafrabad,51,0.7 days,HIGH,0.4 days,HIGH,1.2 days,0.1 days,-12.5%,33.3%
Hazira,https://www.marinetraffic.com/en/ais/details/ports/537/name=Hazira,51,1.0 days,HIGH,1.2 days,HIGH,2.2 days,3.6 days,42.9%,0.0%
Haldia,https://www.marinetraffic.com/en/ais/details/ports/18985/name=Haldia,51,1.0 days,LOW,1.9 days,LOW,2.5 days,1.0 days,-9.1%,11.8%
Gangavaram,https://www.marinetraffic.com/en/ais/details/ports/18980/name=Gangavaram,51,0.5 days,MEDIUM,2.9 days,MEDIUM,3.3 days,-66.7%,-12.1%,-
Ennore,https://www.marinetraffic.com/en/ais/details/ports/791/name=Ennore,51,0.5 days,LOW,1.4 days,LOW,1.6 days,1.3 days,-68.8%,27.3%
Dighi,https://www.marinetraffic.com/en/ais/details/ports/18948/name=Dighi,51,0.1 days,MEDIUM,2.2 days,MEDIUM,-88.9%,-26.7%,-,-
Dharamtar,https://www.marinetraffic.com/en/ais/details/ports/21601/name=Dharamtar,51,0.8 days,HIGH,0.5 days,HIGH,0.8 days,1.4 days,-11.1%,0.0%
Dhamra,https://www.marinetraffic.com/en/ais/details/ports/20607/name=Dhamra,51,1.0 days,LOW,4.1 days,LOW,0.6 days,3.8 days,0.0%,13.9%
Dahej,https://www.marinetraffic.com/en/ais/details/ports/535/name=Dahej,51,0.4 days,LOW,1.4 days,LOW,1.8 days,0.8 days,-42.9%,27.3%
Dabhol,https://www.marinetraffic.com/en/ais/details/ports/18950/name=Dabhol,51,0.5 days,LOW,1.0 days,LOW,-9.1%,-,-,-
Cuddalore,https://www.marinetraffic.com/en/ais/details/ports/24893/name=Cuddalore,51,3.6 days,LOW,7.2 days,LOW,1.1 days,8.3 days,-18.2%,188.0%
Chennai,https://www.marinetraffic.com/en/ais/details/ports/792/name=Chennai,51,0.1 days,LOW,2.0 days,LOW,0.8 days,4.0 days,-50.0%,5.3%
Beypore,https://www.marinetraffic.com/en/ais/details/ports/18969/name=Beypore,51,LOW,4.0 days,LOW,4.7 days,-18.4%,-,-,-
Visakhapatnam,https://www.marinetraffic.com/en/ais/details/ports/3048/name=Visakhapatnam,50,0.7 days,HIGH,1.8 days,HIGH,2.4 days,1.9 days,40.0%,-5.3%
Vadinar,https://www.marinetraffic.com/en/ais/details/ports/559/name=Vadinar,50,0.9 days,LOW,1.7 days,LOW,1.4 days,0.4 days,125.0%,21.4%
Tuticorin,https://www.marinetraffic.com/en/ais/details/ports/2986/name=Tuticorin,50,0.4 days,LOW,1.3 days,LOW,1.5 days,2.0 days,33.3%,-56.7%
Sikka,https://www.marinetraffic.com/en/ais/details/ports/560/name=Sikka,50,1.3 days,HIGH,1.6 days,HIGH,3.3 days,0.6 days,-13.3%,0.0%
Ratnagiri,https://www.marinetraffic.com/en/ais/details/ports/18952/name=Ratnagiri,50,1.0 days,LOW,0.4 days,LOW,0.4 days,0.2 days,25.0%,-33.3%
Ranpar,https://www.marinetraffic.com/en/ais/details/ports/18953/name=Ranpar,50,0.1 days,MEDIUM,1.3 days,MEDIUM,-50.0%,-13.3%,-,-
Port blair,https://www.marinetraffic.com/en/ais/details/ports/21891/name=Port-blair,50,MEDIUM,3.9 days,MEDIUM,2.4 days,-2.5%,-,-,-
Porbandar,https://www.marinetraffic.com/en/ais/details/ports/538/name=Porbandar,50,3.2 days,LOW,4.4 days,LOW,0.8 days,0.6 days,146.2%,109.5%
Pipavav,https://www.marinetraffic.com/en/ais/details/ports/533/name=Pipavav,50,0.5 days,MEDIUM,0.8 days,MEDIUM,0.4 days,1.6 days,-50.0%,-11.1%
Paradip,https://www.marinetraffic.com/en/ais/details/ports/17379/name=Paradip,50,1.4 days,LOW,1.7 days,LOW,2.1 days,1.4 days,-26.3%,6.3%
Nhava sheva,https://www.marinetraffic.com/en/ais/details/ports/2713/name=Nhava-sheva,50,0.4 days,HIGH,1.0 days,HIGH,10.7 days,1.0 days,-20.0%,-9.1%
Navlakhi,https://www.marinetraffic.com/en/ais/details/ports/21448/name=Navlakhi,50,0.8 days,LOW,5.2 days,LOW,0.0 days,0.4 days,-55.6%,-23.5%
Mundra,https://www.marinetraffic.com/en/ais/details/ports/268/name=Mundra,50,0.3 days,LOW,1.0 days,LOW,1.3 days,1.7 days,50.0%,-9.1%
Mumbai,https://www.marinetraffic.com/en/ais/details/ports/2341/name=Mumbai,50,0.9 days,LOW,1.1 days,LOW,4.8 days,15.8 days,50.0%,-35.3%
Muldwarka,https://www.marinetraffic.com/en/ais/details/ports/3077/name=Muldwarka,50,0.3 days,MEDIUM,1.4 days,MEDIUM,1.0 days,1.5 days,-81.3%,-36.4%
Mormugao,https://www.marinetraffic.com/en/ais/details/ports/561/name=Mormugao,50,0.1 days,MEDIUM,1.4 days,MEDIUM,0.2 days,1.5 days,-80.0%,-50.0%
Mangalore,https://www.marinetraffic.com/en/ais/details/ports/17383/name=Mangalore,50,1.4 days,HIGH,1.6 days,HIGH,2.5 days,1.2 days,27.3%,-5.9%
Magdalla,https://www.marinetraffic.com/en/ais/details/ports/19704/name=Magdalla,50,0.7 days,HIGH,0.8 days,HIGH,0.5 days,3.2 days,133.3%,0.0%
Krishnapatnam,https://www.marinetraffic.com/en/ais/details/ports/1317/name=Krishnapatnam,50,2.7 days,HIGH,2.7 days,HIGH,4.4 days,6.5 days,800.0%,28.6%
Kolkata,https://www.marinetraffic.com/en/ais/details/ports/2806/name=Kolkata,50,1.4 days,LOW,2.8 days,LOW,0.9 days,2.9 days,-6.7%,-28.2%
Kochi,https://www.marinetraffic.com/en/ais/details/ports/2990/name=Kochi,50,0.5 days,HIGH,1.0 days,HIGH,1.0 days,7.5 days,150.0%,-9.1%
Kattupalli,https://www.marinetraffic.com/en/ais/details/ports/18979/name=Kattupalli,50,0.5 days,LOW,0.6 days,LOW,0.6 days,0.5 days,0.0%,-25.0%
Karwar,https://www.marinetraffic.com/en/ais/details/ports/557/name=Karwar,50,0.9 days,LOW,3.1 days,LOW,-67.9%,47.6%,-,-
Karaikal,https://www.marinetraffic.com/en/ais/details/ports/18978/name=Karaikal,50,MEDIUM,3.3 days,MEDIUM,2.8 days,50.0%,-,-,-
Kandla,https://www.marinetraffic.com/en/ais/details/ports/269/name=Kandla,50,2.2 days,LOW,1.8 days,LOW,2.7 days,2.6 days,-4.3%,-5.3%
Kakinada,https://www.marinetraffic.com/en/ais/details/ports/18914/name=Kakinada,50,5.5 days,LOW,3.7 days,LOW,14.3 days,13.9 days,52.8%,-5.1%
Jaigad,https://www.marinetraffic.com/en/ais/details/ports/18951/name=Jaigad,50,0.4 days,LOW,0.9 days,LOW,2.0 days,1.7 days,300.0%,80.0%
Jafrabad,https://www.marinetraffic.com/en/ais/details/ports/3078/name=Jafrabad,50,0.8 days,LOW,0.3 days,LOW,0.5 days,0.2 days,14.3%,-25.0%
Hazira,https://www.marinetraffic.com/en/ais/details/ports/537/name=Hazira,50,0.7 days,HIGH,1.2 days,HIGH,1.9 days,5.4 days,0.0%,20.0%
Haldia,https://www.marinetraffic.com/en/ais/details/ports/18985/name=Haldia,50,1.1 days,LOW,1.7 days,LOW,2.3 days,2.8 days,37.5%,-15.0%
Gangavaram,https://www.marinetraffic.com/en/ais/details/ports/18980/name=Gangavaram,50,1.5 days,MEDIUM,3.3 days,MEDIUM,2.7 days,2.0 days,400.0%,32.0%
Ennore,https://www.marinetraffic.com/en/ais/details/ports/791/name=Ennore,50,1.6 days,LOW,1.1 days,LOW,2.4 days,1.2 days,-46.7%,-35.3%
Dharamtar,https://www.marinetraffic.com/en/ais/details/ports/21601/name=Dharamtar,50,0.9 days,HIGH,0.5 days,HIGH,0.4 days,0.6 days,12.5%,0.0%
Dhamra,https://www.marinetraffic.com/en/ais/details/ports/20607/name=Dhamra,50,1.0 days,MEDIUM,3.6 days,MEDIUM,1.0 days,2.2 days,-52.4%,0.0%
Dahej,https://www.marinetraffic.com/en/ais/details/ports/535/name=Dahej,50,0.7 days,HIGH,1.1 days,HIGH,1.3 days,1.2 days,600.0%,-15.4%
Chennai,https://www.marinetraffic.com/en/ais/details/ports/792/name=Chennai,50,0.2 days,LOW,1.9 days,LOW,1.4 days,5.6 days,100.0%,5.6%
Beypore,https://www.marinetraffic.com/en/ais/details/ports/18969/name=Beypore,50,1.3 days,MEDIUM,4.9 days,MEDIUM,0.9 days,14.6 days,62.5%,22.5%
Visakhapatnam,https://www.marinetraffic.com/en/ais/details/ports/3048/name=Visakhapatnam,49,0.5 days,HIGH,1.9 days,HIGH,4.4 days,7.1 days,25.0%,-5.0%
Vadinar,https://www.marinetraffic.com/en/ais/details/ports/559/name=Vadinar,49,0.4 days,LOW,1.4 days,LOW,0.7 days,0.4 days,-63.6%,-6.7%
Tuticorin,https://www.marinetraffic.com/en/ais/details/ports/2986/name=Tuticorin,49,0.3 days,LOW,3.0 days,LOW,3.4 days,7.9 days,50.0%,20.0%
Sikka,https://www.marinetraffic.com/en/ais/details/ports/560/name=Sikka,49,1.5 days,LOW,1.6 days,LOW,1.2 days,0.5 days,66.7%,14.3%
Ratnagiri,https://www.marinetraffic.com/en/ais/details/ports/18952/name=Ratnagiri,49,0.8 days,MEDIUM,0.6 days,MEDIUM,0.0 days,0.4 days,33.3%,-40.0%
Port blair,https://www.marinetraffic.com/en/ais/details/ports/21891/name=Port-blair,49,0.4 days,LOW,4.0 days,LOW,0.2 days,25.2 days,-60.0%,53.9%
Porbandar,https://www.marinetraffic.com/en/ais/details/ports/538/name=Porbandar,49,1.7 days,LOW,1.3 days,LOW,0.1 days,-57.5%,-35.0%,-
Pipavav,https://www.marinetraffic.com/en/ais/details/ports/533/name=Pipavav,49,0.0 days,LOW,0.5 days,LOW,0.2 days,0.4 days,-100.0%,-44.4%
Paradip,https://www.marinetraffic.com/en/ais/details/ports/17379/name=Paradip,49,1.9 days,MEDIUM,1.6 days,MEDIUM,1.6 days,1.2 days,216.7%,0.0%
Okha,https://www.marinetraffic.com/en/ais/details/ports/558/name=Okha,49,1.1 days,MEDIUM,5.2 days,MEDIUM,136.4%,-,-,-
Nhava sheva,https://www.marinetraffic.com/en/ais/details/ports/2713/name=Nhava-sheva,49,0.5 days,HIGH,1.1 days,HIGH,4.4 days,2.3 days,0.0%,10.0%
Navlakhi,https://www.marinetraffic.com/en/ais/details/ports/21448/name=Navlakhi,49,1.8 days,LOW,6.8 days,LOW,0.8 days,5.1 days,28.6%,277.8%
Mundra,https://www.marinetraffic.com/en/ais/details/ports/268/name=Mundra,49,0.2 days,HIGH,1.1 days,HIGH,0.8 days,0.9 days,0.0%,22.2%
Mumbai,https://www.marinetraffic.com/en/ais/details/ports/2341/name=Mumbai,49,0.6 days,HIGH,1.7 days,HIGH,3.3 days,24.2 days,-14.3%,6.3%
Muldwarka,https://www.marinetraffic.com/en/ais/details/ports/3077/name=Muldwarka,49,1.6 days,MEDIUM,2.2 days,MEDIUM,2.7 days,1.4 days,700.0%,-84.9%
Mormugao,https://www.marinetraffic.com/en/ais/details/ports/561/name=Mormugao,49,0.6 days,LOW,1.2 days,LOW,2.2 days,1.4 days,20.0%,-57.1%
Mangalore,https://www.marinetraffic.com/en/ais/details/ports/17383/name=Mangalore,49,1.1 days,LOW,1.7 days,LOW,1.7 days,1.2 days,120.0%,13.3%
Magdalla,https://www.marinetraffic.com/en/ais/details/ports/19704/name=Magdalla,49,0.3 days,HIGH,0.8 days,HIGH,0.4 days,0.3 days,0.0%,33.3%
Krishnapatnam,https://www.marinetraffic.com/en/ais/details/ports/1317/name=Krishnapatnam,49,1.3 days,LOW,2.9 days,LOW,1.9 days,2.8 days,333.3%,38.1%
Kolkata,https://www.marinetraffic.com/en/ais/details/ports/2806/name=Kolkata,49,1.5 days,LOW,3.9 days,LOW,0.9 days,2.3 days,25.0%,-9.3%
Kochi,https://www.marinetraffic.com/en/ais/details/ports/2990/name=Kochi,49,0.2 days,HIGH,1.1 days,HIGH,1.2 days,6.7 days,-33.3%,10.0%
Kattupalli,https://www.marinetraffic.com/en/ais/details/ports/18979/name=Kattupalli,49,0.5 days,LOW,0.8 days,LOW,0.4 days,1.8 days,25.0%,0.0%
Karwar,https://www.marinetraffic.com/en/ais/details/ports/557/name=Karwar,49,2.8 days,MEDIUM,2.1 days,MEDIUM,1.0 days,0.3 days,460.0%,40.0%
Karaikal,https://www.marinetraffic.com/en/ais/details/ports/18978/name=Karaikal,49,LOW,2.2 days,LOW,-33.3%,-,-,-,-
Kandla,https://www.marinetraffic.com/en/ais/details/ports/269/name=Kandla,49,2.3 days,HIGH,1.9 days,HIGH,2.0 days,2.5 days,4.5%,0.0%
Kakinada,https://www.marinetraffic.com/en/ais/details/ports/18914/name=Kakinada,49,3.6 days,HIGH,3.9 days,HIGH,14.0 days,14.1 days,157.1%,-78.8%
Jaigad,https://www.marinetraffic.com/en/ais/details/ports/18951/name=Jaigad,49,0.1 days,HIGH,0.5 days,HIGH,0.4 days,2.5 days,-88.9%,-54.5%
Jafrabad,https://www.marinetraffic.com/en/ais/details/ports/3078/name=Jafrabad,49,0.7 days,LOW,0.4 days,LOW,0.3 days,0.2 days,-36.4%,-20.0%
Hazira,https://www.marinetraffic.com/en/ais/details/ports/537/name=Hazira,49,0.7 days,LOW,1.0 days,LOW,2.3 days,1.4 days,40.0%,-23.1%
Haldia,https://www.marinetraffic.com/en/ais/details/ports/18985/name=Haldia,49,0.8 days,LOW,2.0 days,LOW,2.3 days,1.9 days,-27.3%,33.3%
Gangavaram,https://www.marinetraffic.com/en/ais/details/ports/18980/name=Gangavaram,49,0.3 days,MEDIUM,2.5 days,MEDIUM,0.9 days,2.2 days,50.0%,92.3%
Ennore,https://www.marinetraffic.com/en/ais/details/ports/791/name=Ennore,49,3.0 days,LOW,1.7 days,LOW,3.7 days,1.4 days,50.0%,41.7%
Dighi,https://www.marinetraffic.com/en/ais/details/ports/18948/name=Dighi,49,0.5 days,MEDIUM,1.0 days,MEDIUM,-44.4%,-66.7%,-,-
Dharamtar,https://www.marinetraffic.com/en/ais/details/ports/21601/name=Dharamtar,49,0.8 days,HIGH,0.5 days,HIGH,0.9 days,1.0 days,-27.3%,-16.7%
Dhamra,https://www.marinetraffic.com/en/ais/details/ports/20607/name=Dhamra,49,2.1 days,MEDIUM,3.6 days,MEDIUM,1.3 days,1.6 days,425.0%,71.4%
Dahej,https://www.marinetraffic.com/en/ais/details/ports/535/name=Dahej,49,0.8 days,LOW,1.1 days,LOW,1.6 days,1.2 days,700.0%,-15.4%
Dabhol,https://www.marinetraffic.com/en/ais/details/ports/18950/name=Dabhol,49,0.0 days,LOW,1.3 days,LOW,-,-,-,-
Cuddalore,https://www.marinetraffic.com/en/ais/details/ports/24893/name=Cuddalore,49,4.4 days,LOW,2.5 days,LOW,2.1 days,127.3%,-,-
Chennai,https://www.marinetraffic.com/en/ais/details/ports/792/name=Chennai,49,0.1 days,LOW,1.8 days,LOW,2.3 days,5.2 days,-50.0%,5.9%
Beypore,https://www.marinetraffic.com/en/ais/details/ports/18969/name=Beypore,49,0.8 days,LOW,4.0 days,LOW,0.9 days,10.2 days,166.7%,-74.5%
Visakhapatnam,https://www.marinetraffic.com/en/ais/details/ports/3048/name=Visakhapatnam,48,0.4 days,HIGH,2.0 days,HIGH,2.4 days,3.4 days,-33.3%,5.3%
Vadinar,https://www.marinetraffic.com/en/ais/details/ports/559/name=Vadinar,48,1.1 days,LOW,1.5 days,LOW,1.3 days,0.3 days,83.3%,0.0%
Tuticorin,https://www.marinetraffic.com/en/ais/details/ports/2986/name=Tuticorin,48,0.2 days,LOW,2.5 days,LOW,2.3 days,6.4 days,-60.0%,25.0%
Sikka,https://www.marinetraffic.com/en/ais/details/ports/560/name=Sikka,48,0.9 days,HIGH,1.4 days,HIGH,1.5 days,0.5 days,-25.0%,0.0%
Ratnagiri,https://www.marinetraffic.com/en/ais/details/ports/18952/name=Ratnagiri,48,0.6 days,LOW,1.0 days,LOW,0.4 days,0.2 days,100.0%,100.0%
Ranpar,https://www.marinetraffic.com/en/ais/details/ports/18953/name=Ranpar,48,1.7 days,LOW,1.6 days,LOW,750.0%,6.7%,-,-
Port blair,https://www.marinetraffic.com/en/ais/details/ports/21891/name=Port-blair,48,1.0 days,MEDIUM,2.6 days,MEDIUM,1.2 days,2.9 days,160.0%,-
