ag-cell-content-link,ag-cell-content-link href,ag-cell-content 3,ag-cell-content 6,ag-cell-content 7,ag-cell-content 8,ag-cell-content 9,ag-cell-content 10,ag-cell-content 11,ag-cell-content 12,ag-cell-content 13
Dabhol,https://www.marinetraffic.com/en/ais/details/ports/18950/name=Dabhol,11,0.0 days,MEDIUM,1.2 days,MEDIUM,0.0 days,0.0%,-,-
Chennai,https://www.marinetraffic.com/en/ais/details/ports/792/name=Chennai,11,0.2 days,LOW,1.9 days,LOW,0.8 days,2.0 days,100.0%,-5.0%
Bhavnagar new port,https://www.marinetraffic.com/en/ais/details/ports/22247/name=Bhavnagar-new-port,11,0.3 days,MEDIUM,0.1 days,MEDIUM,0.1 days,5.7 days,-25.0%,0.0%
Beypore,https://www.marinetraffic.com/en/ais/details/ports/18969/name=Beypore,11,0.0 days,MEDIUM,3.0 days,MEDIUM,0.7 days,3.3 days,0.0%,-45.5%
Visakhapatnam,https://www.marinetraffic.com/en/ais/details/ports/3048/name=Visakhapatnam,10,0.2 days,HIGH,2.5 days,HIGH,1.8 days,2.0 days,-50.0%,4.2%
Vadinar,https://www.marinetraffic.com/en/ais/details/ports/559/name=Vadinar,10,2.0 days,HIGH,1.6 days,HIGH,1.7 days,0.5 days,100.0%,0.0%
Tuticorin,https://www.marinetraffic.com/en/ais/details/ports/2986/name=Tuticorin,10,0.4 days,HIGH,1.7 days,HIGH,0.5 days,1.2 days,-20.0%,-10.5%
Sikka,https://www.marinetraffic.com/en/ais/details/ports/560/name=Sikka,10,1.4 days,LOW,1.4 days,LOW,1.9 days,0.4 days,-12.5%,-17.6%
Ratnagiri,https://www.marinetraffic.com/en/ais/details/ports/18952/name=Ratnagiri,10,0.8 days,MEDIUM,0.5 days,MEDIUM,-20.0%,25.0%,-,-
Ranpar,https://www.marinetraffic.com/en/ais/details/ports/18953/name=Ranpar,10,0.0 days,MEDIUM,1.5 days,MEDIUM,-100.0%,36.4%,-,-
Port blair,https://www.marinetraffic.com/en/ais/details/ports/21891/name=Port-blair,10,LOW,1.3 days,LOW,18.6 days,-,-,-,-
Porbandar,https://www.marinetraffic.com/en/ais/details/ports/538/name=Porbandar,10,1.4 days,LOW,1.4 days,LOW,1.1 days,0.3 days,7.7%,-
Pipavav,https://www.marinetraffic.com/en/ais/details/ports/533/name=Pipavav,10,0.1 days,LOW,0.8 days,LOW,0.4 days,1.0 days,-66.7%,14.3%
Paradip,https://www.marinetraffic.com/en/ais/details/ports/17379/name=Paradip,10,1.9 days,LOW,1.7 days,LOW,2.3 days,1.9 days,-13.6%,13.3%
Okha,https://www.marinetraffic.com/en/ais/details/ports/558/name=Okha,10,16.1 days,MEDIUM,1.8 days,MEDIUM,16.2 days,1.0 days,67.7%,-21.7%
Nhava sheva,https://www.marinetraffic.com/en/ais/details/ports/2713/name=Nhava-sheva,10,0.4 days,LOW,0.9 days,LOW,13.7 days,7.9 days,-55.6%,-18.2%
Navlakhi,https://www.marinetraffic.com/en/ais/details/ports/21448/name=Navlakhi,10,0.7 days,HIGH,0.9 days,HIGH,36.3 days,6.5 days,-64.0%,-
Mundra,https://www.marinetraffic.com/en/ais/details/ports/268/name=Mundra,10,0.2 days,HIGH,1.0 days,HIGH,0.5 days,1.0 days,-50.0%,-16.7%
Mumbai,https://www.marinetraffic.com/en/ais/details/ports/2341/name=Mumbai,10,0.4 days,LOW,2.3 days,LOW,2.2 days,12.2 days,-20.0%,15.0%
Muldwarka,https://www.marinetraffic.com/en/ais/details/ports/3077/name=Muldwarka,10,3.0 days,LOW,13.6 days,LOW,2.8 days,19.1 days,200.0%,-32.7%
Mormugao,https://www.marinetraffic.com/en/ais/details/ports/561/name=Mormugao,10,0.0 days,LOW,1.8 days,LOW,0.6 days,1.1 days,-100.0%,-33.3%
Mangalore,https://www.marinetraffic.com/en/ais/details/ports/17383/name=Mangalore,10,0.6 days,HIGH,1.6 days,HIGH,2.3 days,1.0 days,-14.3%,33.3%
Magdalla,https://www.marinetraffic.com/en/ais/details/ports/19704/name=Magdalla,10,0.4 days,HIGH,0.5 days,HIGH,0.2 days,0.4 days,33.3%,0.0%
Krishnapatnam,https://www.marinetraffic.com/en/ais/details/ports/1317/name=Krishnapatnam,10,0.4 days,LOW,2.4 days,LOW,0.8 days,1.7 days,100.0%,20.0%
Kolkata,https://www.marinetraffic.com/en/ais/details/ports/2806/name=Kolkata,10,1.0 days,LOW,2.3 days,LOW,1.2 days,1.0 days,11.1%,-20.7%
Kochi,https://www.marinetraffic.com/en/ais/details/ports/2990/name=Kochi,10,0.3 days,LOW,1.1 days,LOW,2.0 days,2.4 days,-40.0%,22.2%
Kattupalli,https://www.marinetraffic.com/en/ais/details/ports/18979/name=Kattupalli,10,0.0 days,LOW,1.2 days,LOW,0.3 days,1.3 days,-100.0%,50.0%
Karwar,https://www.marinetraffic.com/en/ais/details/ports/557/name=Karwar,10,0.6 days,LOW,1.1 days,LOW,500.0%,0.0%,-,-
Karaikal,https://www.marinetraffic.com/en/ais/details/ports/18978/name=Karaikal,10,0.5 days,MEDIUM,2.2 days,MEDIUM,0.0 days,2.3 days,-28.6%,29.4%
Kandla,https://www.marinetraffic.com/en/ais/details/ports/269/name=Kandla,10,1.5 days,HIGH,2.0 days,HIGH,2.1 days,2.6 days,-44.4%,-4.8%
Kakinada,https://www.marinetraffic.com/en/ais/details/ports/18914/name=Kakinada,10,0.3 days,LOW,2.1 days,LOW,5.7 days,5.2 days,-50.0%,-58.0%
Jaigad,https://www.marinetraffic.com/en/ais/details/ports/18951/name=Jaigad,10,0.1 days,HIGH,0.5 days,HIGH,0.2 days,0.8 days,-92.3%,25.0%
Jafrabad,https://www.marinetraffic.com/en/ais/details/ports/3078/name=Jafrabad,10,1.3 days,HIGH,0.5 days,HIGH,1.1 days,0.3 days,62.5%,-16.7%
Hazira,https://www.marinetraffic.com/en/ais/details/ports/537/name=Hazira,10,1.0 days,HIGH,1.1 days,HIGH,1.9 days,1.8 days,66.7%,-8.3%
Haldia,https://www.marinetraffic.com/en/ais/details/ports/18985/name=Haldia,10,0.8 days,HIGH,1.5 days,HIGH,2.3 days,0.5 days,-38.5%,-25.0%
Ghogha,https://www.marinetraffic.com/en/ais/details/ports/22248/name=Ghogha,10,LOW,1.8 days,LOW,-73.9%,-,-,-,-
Gangavaram,https://www.marinetraffic.com/en/ais/details/ports/18980/name=Gangavaram,10,0.0 days,LOW,1.9 days,LOW,0.4 days,3.0 days,-100.0%,-36.7%
Ennore,https://www.marinetraffic.com/en/ais/details/ports/791/name=Ennore,10,1.5 days,HIGH,1.4 days,HIGH,2.9 days,1.5 days,-16.7%,0.0%
Dharamtar,https://www.marinetraffic.com/en/ais/details/ports/21601/name=Dharamtar,10,0.8 days,LOW,0.5 days,LOW,0.9 days,0.4 days,0.0%,-16.7%
Dhamra,https://www.marinetraffic.com/en/ais/details/ports/20607/name=Dhamra,10,1.3 days,HIGH,2.2 days,HIGH,1.4 days,1.6 days,-7.1%,4.8%
Dahej,https://www.marinetraffic.com/en/ais/details/ports/535/name=Dahej,10,0.5 days,LOW,1.1 days,LOW,1.2 days,1.2 days,-76.2%,-15.4%
Dabhol,https://www.marinetraffic.com/en/ais/details/ports/18950/name=Dabhol,10,MEDIUM,1.2 days,MEDIUM,-7.7%,-,-,-,-
Cuddalore,https://www.marinetraffic.com/en/ais/details/ports/24893/name=Cuddalore,10,4.2 days,MEDIUM,1.2 days,MEDIUM,3.3 days,0.1 days,40.0%,33.3%
Chennai,https://www.marinetraffic.com/en/ais/details/ports/792/name=Chennai,10,0.1 days,HIGH,2.0 days,HIGH,1.5 days,2.6 days,0.0%,17.6%
Beypore,https://www.marinetraffic.com/en/ais/details/ports/18969/name=Beypore,10,0.0 days,LOW,5.5 days,LOW,0.0 days,4.1 days,0.0%,83.3%
Visakhapatnam,https://www.marinetraffic.com/en/ais/details/ports/3048/name=Visakhapatnam,9,0.4 days,LOW,2.4 days,LOW,2.1 days,2.2 days,-33.3%,9.1%
Vadinar,https://www.marinetraffic.com/en/ais/details/ports/559/name=Vadinar,9,1.0 days,MEDIUM,1.6 days,MEDIUM,1.1 days,0.5 days,-16.7%,0.0%
Tuticorin,https://www.marinetraffic.com/en/ais/details/ports/2986/name=Tuticorin,9,0.5 days,HIGH,1.9 days,HIGH,1.9 days,2.4 days,25.0%,-17.4%
Sikka,https://www.marinetraffic.com/en/ais/details/ports/560/name=Sikka,9,1.6 days,LOW,1.7 days,LOW,4.9 days,2.7 days,-11.1%,13.3%
Port blair,https://www.marinetraffic.com/en/ais/details/ports/21891/name=Port-blair,9,0.3 days,LOW,3.0 days,LOW,2.1 days,-57.1%,-,-
Porbandar,https://www.marinetraffic.com/en/ais/details/ports/538/name=Porbandar,9,LOW,1.3 days,LOW,-7.1%,-,-,-,-
Pipavav,https://www.marinetraffic.com/en/ais/details/ports/533/name=Pipavav,9,0.3 days,HIGH,0.7 days,HIGH,0.7 days,1.7 days,0.0%,-12.5%
Paradip,https://www.marinetraffic.com/en/ais/details/ports/17379/name=Paradip,9,2.2 days,HIGH,1.5 days,HIGH,2.0 days,1.3 days,266.7%,-11.8%
Okha,https://www.marinetraffic.com/en/ais/details/ports/558/name=Okha,9,4.3 days,MEDIUM,3.0 days,MEDIUM,0.3 days,0.1 days,-32.8%,15.4%
Nhava sheva,https://www.marinetraffic.com/en/ais/details/ports/2713/name=Nhava-sheva,9,0.9 days,HIGH,1.1 days,HIGH,5.1 days,1.6 days,125.0%,0.0%
Navlakhi,https://www.marinetraffic.com/en/ais/details/ports/21448/name=Navlakhi,9,MEDIUM,2.5 days,MEDIUM,0.6 days,2400.0%,-,-,-
Mundra,https://www.marinetraffic.com/en/ais/details/ports/268/name=Mundra,9,0.4 days,LOW,1.2 days,LOW,0.8 days,1.1 days,33.3%,-7.7%
Mumbai,https://www.marinetraffic.com/en/ais/details/ports/2341/name=Mumbai,9,0.5 days,HIGH,2.0 days,HIGH,3.2 days,8.4 days,-28.6%,-28.6%
Muldwarka,https://www.marinetraffic.com/en/ais/details/ports/3077/name=Muldwarka,9,1.0 days,LOW,20.2 days,LOW,0.0%,41.3%,-,-
Mormugao,https://www.marinetraffic.com/en/ais/details/ports/561/name=Mormugao,9,0.7 days,LOW,2.7 days,LOW,1.1 days,2.3 days,40.0%,80.0%
Mangalore,https://www.marinetraffic.com/en/ais/details/ports/17383/name=Mangalore,9,0.7 days,LOW,1.2 days,LOW,1.7 days,1.9 days,-41.7%,-25.0%
Magdalla,https://www.marinetraffic.com/en/ais/details/ports/19704/name=Magdalla,9,0.3 days,LOW,0.5 days,LOW,0.4 days,1.3 days,-25.0%,0.0%
Krishnapatnam,https://www.marinetraffic.com/en/ais/details/ports/1317/name=Krishnapatnam,9,0.2 days,LOW,2.0 days,LOW,0.7 days,1.3 days,0.0%,17.6%
Kolkata,https://www.marinetraffic.com/en/ais/details/ports/2806/name=Kolkata,9,0.9 days,HIGH,2.9 days,HIGH,1.0 days,11.3 days,-18.2%,3.6%
Kochi,https://www.marinetraffic.com/en/ais/details/ports/2990/name=Kochi,9,0.4 days,LOW,1.3 days,LOW,0.6 days,12.8 days,-20.0%,30.0%
Kattupalli,https://www.marinetraffic.com/en/ais/details/ports/18979/name=Kattupalli,9,0.2 days,MEDIUM,0.8 days,MEDIUM,0.9 days,0.5 days,-66.7%,0.0%
Karwar,https://www.marinetraffic.com/en/ais/details/ports/557/name=Karwar,9,0.1 days,LOW,1.1 days,LOW,0.8 days,0.4 days,0.0%,-15.4%
Karaikal,https://www.marinetraffic.com/en/ais/details/ports/18978/name=Karaikal,9,0.1 days,MEDIUM,2.2 days,MEDIUM,-75.0%,-42.1%,-,-
Kandla,https://www.marinetraffic.com/en/ais/details/ports/269/name=Kandla,9,2.3 days,LOW,2.0 days,LOW,4.5 days,1.9 days,-14.8%,-4.8%
Kakinada,https://www.marinetraffic.com/en/ais/details/ports/18914/name=Kakinada,9,0.6 days,LOW,5.0 days,LOW,2.8 days,8.3 days,100.0%,66.7%
Jaigad,https://www.marinetraffic.com/en/ais/details/ports/18951/name=Jaigad,9,0.6 days,HIGH,0.5 days,HIGH,0.8 days,0.9 days,-53.9%,25.0%
Jafrabad,https://www.marinetraffic.com/en/ais/details/ports/3078/name=Jafrabad,9,0.8 days,MEDIUM,0.6 days,MEDIUM,0.5 days,0.2 days,-69.2%,0.0%
Hazira,https://www.marinetraffic.com/en/ais/details/ports/537/name=Hazira,9,0.6 days,LOW,1.2 days,LOW,1.5 days,1.5 days,-25.0%,20.0%
Haldia,https://www.marinetraffic.com/en/ais/details/ports/18985/name=Haldia,9,1.3 days,MEDIUM,2.0 days,MEDIUM,2.7 days,1.9 days,30.0%,0.0%
Gangavaram,https://www.marinetraffic.com/en/ais/details/ports/18980/name=Gangavaram,9,0.0 days,LOW,3.4 days,LOW,0.3 days,2.3 days,-100.0%,13.3%
Ennore,https://www.marinetraffic.com/en/ais/details/ports/791/name=Ennore,9,1.8 days,HIGH,1.4 days,HIGH,2.6 days,1.1 days,-5.3%,-33.3%
Dighi,https://www.marinetraffic.com/en/ais/details/ports/18948/name=Dighi,9,0.5 days,MEDIUM,2.0 days,MEDIUM,-,-,-,-
Dharamtar,https://www.marinetraffic.com/en/ais/details/ports/21601/name=Dharamtar,9,0.8 days,HIGH,0.6 days,HIGH,0.9 days,2.2 days,0.0%,0.0%
Dhamra,https://www.marinetraffic.com/en/ais/details/ports/20607/name=Dhamra,9,1.4 days,LOW,2.1 days,LOW,1.1 days,0.7 days,-54.8%,-36.4%
Dahej,https://www.marinetraffic.com/en/ais/details/ports/535/name=Dahej,9,2.1 days,LOW,1.3 days,LOW,1.6 days,1.7 days,133.3%,-7.1%
Dabhol,https://www.marinetraffic.com/en/ais/details/ports/18950/name=Dabhol,9,0.1 days,LOW,1.3 days,LOW,0.1 days,0.0%,18.2%,-
Chennai,https://www.marinetraffic.com/en/ais/details/ports/792/name=Chennai,9,0.1 days,HIGH,1.7 days,HIGH,0.8 days,0.9 days,0.0%,6.3%
Bhavnagar new port,https://www.marinetraffic.com/en/ais/details/ports/22247/name=Bhavnagar-new-port,9,0.4 days,MEDIUM,0.1 days,MEDIUM,0.1 days,0.1 days,0.0%,0.0%
Beypore,https://www.marinetraffic.com/en/ais/details/ports/18969/name=Beypore,9,0.0 days,MEDIUM,3.0 days,MEDIUM,0.6 days,3.4 days,-100.0%,172.7%
Visakhapatnam,https://www.marinetraffic.com/en/ais/details/ports/3048/name=Visakhapatnam,8,0.6 days,HIGH,2.2 days,HIGH,1.5 days,2.0 days,-14.3%,4.8%
Vadinar,https://www.marinetraffic.com/en/ais/details/ports/559/name=Vadinar,8,1.2 days,LOW,1.6 days,LOW,0.7 days,0.5 days,20.0%,0.0%
Tuticorin,https://www.marinetraffic.com/en/ais/details/ports/2986/name=Tuticorin,8,0.3 days,LOW,1.8 days,LOW,1.4 days,1.9 days,-25.0%,-21.7%
Sikka,https://www.marinetraffic.com/en/ais/details/ports/560/name=Sikka,8,1.8 days,MEDIUM,1.5 days,MEDIUM,1.5 days,0.9 days,50.0%,0.0%
Ratnagiri,https://www.marinetraffic.com/en/ais/details/ports/18952/name=Ratnagiri,8,1.6 days,MEDIUM,0.4 days,MEDIUM,23.1%,0.0%,-,-
Ranpar,https://www.marinetraffic.com/en/ais/details/ports/18953/name=Ranpar,8,0.2 days,LOW,1.1 days,LOW,0.1 days,0.3 days,0.0%,-15.4%
Port blair,https://www.marinetraffic.com/en/ais/details/ports/21891/name=Port-blair,8,MEDIUM,3.9 days,MEDIUM,4.3 days,-45.8%,-,-,-
Porbandar,https://www.marinetraffic.com/en/ais/details/ports/538/name=Porbandar,8,1.4 days,LOW,1.4 days,LOW,1.9 days,1.1 days,-53.3%,-51.7%
Pipavav,https://www.marinetraffic.com/en/ais/details/ports/533/name=Pipavav,8,0.3 days,LOW,0.7 days,LOW,0.5 days,1.2 days,0.0%,-12.5%
Paradip,https://www.marinetraffic.com/en/ais/details/ports/17379/name=Paradip,8,0.6 days,LOW,1.7 days,LOW,1.9 days,2.1 days,0.0%,6.3%
Nhava sheva,https://www.marinetraffic.com/en/ais/details/ports/2713/name=Nhava-sheva,8,0.4 days,LOW,1.1 days,LOW,1.3 days,1.4 days,33.3%,10.0%
Navlakhi,https://www.marinetraffic.com/en/ais/details/ports/21448/name=Navlakhi,8,LOW,34.7 days,LOW,34600.0%,-,-,-,-
Mundra,https://www.marinetraffic.com/en/ais/details/ports/268/name=Mundra,8,0.3 days,HIGH,1.3 days,HIGH,0.8 days,1.1 days,0.0%,30.0%
Mumbai,https://www.marinetraffic.com/en/ais/details/ports/2341/name=Mumbai,8,0.3 days,LOW,2.2 days,LOW,3.9 days,6.0 days,-57.1%,-21.4%
Muldwarka,https://www.marinetraffic.com/en/ais/details/ports/3077/name=Muldwarka,8,1.0 days,LOW,14.3 days,LOW,0.0%,83.3%,-,-
Mormugao,https://www.marinetraffic.com/en/ais/details/ports/561/name=Mormugao,8,0.8 days,LOW,2.3 days,LOW,0.8 days,3.5 days,60.0%,53.3%
Mangalore,https://www.marinetraffic.com/en/ais/details/ports/17383/name=Mangalore,8,1.2 days,HIGH,1.6 days,HIGH,2.7 days,1.2 days,50.0%,-20.0%
Magdalla,https://www.marinetraffic.com/en/ais/details/ports/19704/name=Magdalla,8,0.4 days,LOW,0.5 days,LOW,0.3 days,0.3 days,-42.9%,-16.7%
Krishnapatnam,https://www.marinetraffic.com/en/ais/details/ports/1317/name=Krishnapatnam,8,0.0 days,LOW,1.7 days,LOW,0.9 days,4.5 days,-100.0%,-26.1%
Kolkata,https://www.marinetraffic.com/en/ais/details/ports/2806/name=Kolkata,8,1.1 days,MEDIUM,2.8 days,MEDIUM,0.5 days,10.4 days,-15.4%,0.0%
Kochi,https://www.marinetraffic.com/en/ais/details/ports/2990/name=Kochi,8,0.5 days,LOW,1.0 days,LOW,1.9 days,2.8 days,66.7%,-9.1%
Kattupalli,https://www.marinetraffic.com/en/ais/details/ports/18979/name=Kattupalli,8,0.6 days,HIGH,0.8 days,HIGH,0.4 days,1.7 days,500.0%,-11.1%
Karwar,https://www.marinetraffic.com/en/ais/details/ports/557/name=Karwar,8,1.0 days,LOW,1.5 days,LOW,0.8 days,233.3%,7.1%,-
Karaikal,https://www.marinetraffic.com/en/ais/details/ports/18978/name=Karaikal,8,0.7 days,LOW,1.7 days,LOW,0.6 days,75.0%,-55.3%,-
Kandla,https://www.marinetraffic.com/en/ais/details/ports/269/name=Kandla,8,2.7 days,LOW,2.1 days,LOW,4.3 days,4.1 days,42.1%,-4.5%
Kakinada,https://www.marinetraffic.com/en/ais/details/ports/18914/name=Kakinada,8,0.6 days,LOW,2.3 days,LOW,3.4 days,10.4 days,100.0%,-23.3%
Jaigad,https://www.marinetraffic.com/en/ais/details/ports/18951/name=Jaigad,8,1.3 days,LOW,0.4 days,LOW,0.7 days,1.5 days,85.7%,-33.3%
Jafrabad,https://www.marinetraffic.com/en/ais/details/ports/3078/name=Jafrabad,8,2.6 days,MEDIUM,0.6 days,MEDIUM,1.9 days,0.3 days,116.7%,20.0%
Hazira,https://www.marinetraffic.com/en/ais/details/ports/537/name=Hazira,8,0.8 days,HIGH,1.0 days,HIGH,1.9 days,4.0 days,100.0%,-9.1%
Haldia,https://www.marinetraffic.com/en/ais/details/ports/18985/name=Haldia,8,1.0 days,LOW,2.0 days,LOW,1.9 days,1.4 days,25.0%,5.3%
Gangavaram,https://www.marinetraffic.com/en/ais/details/ports/18980/name=Gangavaram,8,0.7 days,LOW,3.0 days,LOW,0.8 days,2.2 days,0.0%,57.9%
Ennore,https://www.marinetraffic.com/en/ais/details/ports/791/name=Ennore,8,0.8 days,LOW,1.4 days,LOW,1.6 days,1.5 days,-38.5%,7.7%
Dharamtar,https://www.marinetraffic.com/en/ais/details/ports/21601/name=Dharamtar,8,0.8 days,HIGH,0.6 days,HIGH,2.3 days,0.3 days,0.0%,20.0%
Dhamra,https://www.marinetraffic.com/en/ais/details/ports/20607/name=Dhamra,8,3.1 days,MEDIUM,3.3 days,MEDIUM,1.6 days,1.0 days,1450.0%,-5.7%
Dahej,https://www.marinetraffic.com/en/ais/details/ports/535/name=Dahej,8,0.2 days,HIGH,1.2 days,HIGH,0.7 days,1.2 days,-90.9%,9.1%
Dabhol,https://www.marinetraffic.com/en/ais/details/ports/18950/name=Dabhol,8,MEDIUM,1.1 days,MEDIUM,0.0%,-,-,-,-
Cuddalore,https://www.marinetraffic.com/en/ais/details/ports/24893/name=Cuddalore,8,3.0 days,MEDIUM,0.9 days,MEDIUM,-10.0%,-,-,-
Chennai,https://www.marinetraffic.com/en/ais/details/ports/792/name=Chennai,8,0.1 days,LOW,1.6 days,LOW,1.2 days,1.9 days,0.0%,-11.1%
Bhavnagar new port,https://www.marinetraffic.com/en/ais/details/ports/22247/name=Bhavnagar-new-port,8,0.4 days,HIGH,0.1 days,HIGH,0.2 days,0.0 days,0.0%,0.0%
Beypore,https://www.marinetraffic.com/en/ais/details/ports/18969/name=Beypore,8,0.8 days,HIGH,1.1 days,HIGH,0.6 days,7.2 days,33.3%,10.0%
Visakhapatnam,https://www.marinetraffic.com/en/ais/details/ports/3048/name=Visakhapatnam,7,0.7 days,LOW,2.1 days,LOW,1.7 days,1.8 days,250.0%,-4.5%
Vadinar,https://www.marinetraffic.com/en/ais/details/ports/559/name=Vadinar,7,1.0 days,LOW,1.6 days,LOW,3.6 days,0.5 days,100.0%,14.3%
Tuticorin,https://www.marinetraffic.com/en/ais/details/ports/2986/name=Tuticorin,7,0.4 days,LOW,2.3 days,LOW,0.4 days,2.4 days,33.3%,21.1%
Sikka,https://www.marinetraffic.com/en/ais/details/ports/560/name=Sikka,7,1.2 days,HIGH,1.5 days,HIGH,2.5 days,0.6 days,-33.3%,0.0%
Ratnagiri,https://www.marinetraffic.com/en/ais/details/ports/18952/name=Ratnagiri,7,1.3 days,MEDIUM,0.4 days,MEDIUM,-23.5%,0.0%,-,-
Ranpar,https://www.marinetraffic.com/en/ais/details/ports/18953/name=Ranpar,7,0.5 days,LOW,1.0 days,LOW,0.0%,-28.6%,-,-
Port blair,https://www.marinetraffic.com/en/ais/details/ports/21891/name=Port-blair,7,5.9 days,LOW,7.2 days,LOW,9.6 days,2.9%,-,-
Porbandar,https://www.marinetraffic.com/en/ais/details/ports/538/name=Porbandar,7,3.0 days,LOW,2.9 days,LOW,0.2 days,0.8 days,50.0%,45.0%
Pipavav,https://www.marinetraffic.com/en/ais/details/ports/533/name=Pipavav,7,0.0 days,LOW,0.7 days,LOW,0.5 days,0.9 days,-100.0%,-12.5%
Paradip,https://www.marinetraffic.com/en/ais/details/ports/17379/name=Paradip,7,0.6 days,HIGH,1.6 days,HIGH,1.8 days,1.8 days,-45.5%,0.0%
Nhava sheva,https://www.marinetraffic.com/en/ais/details/ports/2713/name=Nhava-sheva,7,0.3 days,LOW,1.0 days,LOW,13.8 days,3.5 days,0.0%,0.0%
Mundra,https://www.marinetraffic.com/en/ais/details/ports/268/name=Mundra,7,0.3 days,HIGH,1.0 days,HIGH,2.1 days,1.0 days,50.0%,0.0%
Mumbai,https://www.marinetraffic.com/en/ais/details/ports/2341/name=Mumbai,7,0.7 days,HIGH,2.8 days,HIGH,2.9 days,6.7 days,133.3%,86.7%
Muldwarka,https://www.marinetraffic.com/en/ais/details/ports/3077/name=Muldwarka,7,1.0 days,MEDIUM,7.8 days,MEDIUM,0.0 days,0.7 days,0.0%,420.0%
Mormugao,https://www.marinetraffic.com/en/ais/details/ports/561/name=Mormugao,7,0.5 days,LOW,1.5 days,LOW,0.4 days,2.5 days,-61.5%,-16.7%
Mangalore,https://www.marinetraffic.com/en/ais/details/ports/17383/name=Mangalore,7,0.8 days,HIGH,2.0 days,HIGH,4.1 days,1.7 days,-66.7%,33.3%
Magdalla,https://www.marinetraffic.com/en/ais/details/ports/19704/name=Magdalla,7,0.7 days,HIGH,0.6 days,HIGH,0.3 days,0.4 days,-12.5%,-40.0%
Krishnapatnam,https://www.marinetraffic.com/en/ais/details/ports/1317/name=Krishnapatnam,7,0.2 days,HIGH,2.3 days,HIGH,1.0 days,1.8 days,100.0%,15.0%
Kolkata,https://www.marinetraffic.com/en/ais/details/ports/2806/name=Kolkata,7,1.3 days,MEDIUM,2.8 days,MEDIUM,1.1 days,7.1 days,8.3%,-24.3%
Kochi,https://www.marinetraffic.com/en/ais/details/ports/2990/name=Kochi,7,0.3 days,HIGH,1.1 days,HIGH,1.7 days,7.4 days,50.0%,10.0%
Kattupalli,https://www.marinetraffic.com/en/ais/details/ports/18979/name=Kattupalli,7,0.1 days,LOW,0.9 days,LOW,0.5 days,0.8 days,-50.0%,12.5%
Karwar,https://www.marinetraffic.com/en/ais/details/ports/557/name=Karwar,7,0.3 days,LOW,1.4 days,LOW,0.6 days,200.0%,7.7%,-
Karaikal,https://www.marinetraffic.com/en/ais/details/ports/18978/name=Karaikal,7,0.4 days,LOW,3.8 days,LOW,0.1 days,1.2 days,33.3%,11.8%
Kandla,https://www.marinetraffic.com/en/ais/details/ports/269/name=Kandla,7,1.3 days,LOW,2.0 days,LOW,3.3 days,1.7 days,-31.6%,-9.1%
Kakinada,https://www.marinetraffic.com/en/ais/details/ports/18914/name=Kakinada,7,0.3 days,LOW,3.0 days,LOW,0.7 days,9.6 days,-72.7%,-36.2%
Jaigad,https://www.marinetraffic.com/en/ais/details/ports/18951/name=Jaigad,7,0.7 days,HIGH,0.6 days,HIGH,1.2 days,1.3 days,-69.6%,0.0%
Jafrabad,https://www.marinetraffic.com/en/ais/details/ports/3078/name=Jafrabad,7,1.2 days,MEDIUM,0.5 days,MEDIUM,1.1 days,0.5 days,-7.7%,66.7%
Hazira,https://www.marinetraffic.com/en/ais/details/ports/537/name=Hazira,7,0.3 days,LOW,1.1 days,LOW,3.0 days,2.3 days,-40.0%,-15.4%
Haldia,https://www.marinetraffic.com/en/ais/details/ports/18985/name=Haldia,7,0.8 days,LOW,1.9 days,LOW,2.6 days,0.9 days,0.0%,26.7%
Ghogha,https://www.marinetraffic.com/en/ais/details/ports/22248/name=Ghogha,7,MEDIUM,6.9 days,MEDIUM,-,-,-,-,-
Gangavaram,https://www.marinetraffic.com/en/ais/details/ports/18980/name=Gangavaram,7,0.0 days,LOW,1.6 days,LOW,0.4 days,2.1 days,0.0%,-15.8%
Ennore,https://www.marinetraffic.com/en/ais/details/ports/791/name=Ennore,7,1.3 days,LOW,1.3 days,LOW,2.7 days,0.8 days,-31.6%,-38.1%
Dharamtar,https://www.marinetraffic.com/en/ais/details/ports/21601/name=Dharamtar,7,0.8 days,LOW,0.5 days,LOW,0.6 days,4.2 days,-11.1%,-16.7%
Dhamra,https://www.marinetraffic.com/en/ais/details/ports/20607/name=Dhamra,7,0.2 days,LOW,3.5 days,LOW,1.7 days,1.6 days,-88.9%,75.0%
Dahej,https://www.marinetraffic.com/en/ais/details/ports/535/name=Dahej,7,0.8 days,HIGH,1.1 days,HIGH,2.1 days,1.1 days,-63.6%,0.0%
Chennai,https://www.marinetraffic.com/en/ais/details/ports/792/name=Chennai,7,0.1 days,HIGH,1.8 days,HIGH,0.6 days,1.2 days,-50.0%,12.5%
Bhavnagar new port,https://www.marinetraffic.com/en/ais/details/ports/22247/name=Bhavnagar-new-port,7,0.4 days,HIGH,0.1 days,HIGH,0.1 days,1.8 days,0.0%,0.0%
Beypore,https://www.marinetraffic.com/en/ais/details/ports/18969/name=Beypore,7,1.1 days,MEDIUM,5.3 days,MEDIUM,0.7 days,7.1 days,83.3%,430.0%
Visakhapatnam,https://www.marinetraffic.com/en/ais/details/ports/3048/name=Visakhapatnam,6,0.2 days,LOW,2.2 days,LOW,1.2 days,1.8 days,-50.0%,37.5%
