ag-cell-content-link,ag-cell-content-link href,ag-cell-content 3,ag-cell-content 6,ag-cell-content 7,ag-cell-content 8,ag-cell-content 9,ag-cell-content 10,ag-cell-content 11,ag-cell-content 12,ag-cell-content 13
Dighi,https://www.marinetraffic.com/en/ais/details/ports/18948/name=Dighi,2,0.3 days,MEDIUM,2.0 days,MEDIUM,-,-,-,-
Dharamtar,https://www.marinetraffic.com/en/ais/details/ports/21601/name=Dharamtar,2,1.2 days,LOW,0.5 days,LOW,0.8 days,1.4 days,33.3%,-16.7%
Dhamra,https://www.marinetraffic.com/en/ais/details/ports/20607/name=Dhamra,2,0.5 days,LOW,1.7 days,LOW,0.7 days,1.5 days,25.0%,-43.3%
Dahej,https://www.marinetraffic.com/en/ais/details/ports/535/name=Dahej,2,0.6 days,HIGH,1.7 days,HIGH,1.6 days,2.5 days,-33.3%,21.4%
Dabhol,https://www.marinetraffic.com/en/ais/details/ports/18950/name=Dabhol,2,0.1 days,MEDIUM,1.1 days,MEDIUM,0.1 days,0.1 days,0.0%,0.0%
Chennai,https://www.marinetraffic.com/en/ais/details/ports/792/name=Chennai,2,0.0 days,HIGH,1.6 days,HIGH,1.2 days,8.5 days,-100.0%,-11.1%
Beypore,https://www.marinetraffic.com/en/ais/details/ports/18969/name=Beypore,2,1.0 days,MEDIUM,3.3 days,MEDIUM,3.3 days,-16.7%,135.7%,-
Visakhapatnam,https://www.marinetraffic.com/en/ais/details/ports/3048/name=Visakhapatnam,1,0.5 days,HIGH,1.7 days,HIGH,2.7 days,2.1 days,-,-
Vadinar,https://www.marinetraffic.com/en/ais/details/ports/559/name=Vadinar,1,0.4 days,MEDIUM,1.7 days,MEDIUM,0.2 days,0.8 days,-,-
Tuticorin,https://www.marinetraffic.com/en/ais/details/ports/2986/name=Tuticorin,1,0.3 days,HIGH,1.4 days,HIGH,0.5 days,3.0 days,-,-
Sikka,https://www.marinetraffic.com/en/ais/details/ports/560/name=Sikka,1,1.4 days,LOW,1.5 days,LOW,1.2 days,1.6 days,-,-
Ratnagiri,https://www.marinetraffic.com/en/ais/details/ports/18952/name=Ratnagiri,1,1.3 days,MEDIUM,0.4 days,MEDIUM,-,-,-,-
Ranpar,https://www.marinetraffic.com/en/ais/details/ports/18953/name=Ranpar,1,0.5 days,MEDIUM,1.4 days,MEDIUM,0.6 days,-,-,-
Port blair,https://www.marinetraffic.com/en/ais/details/ports/21891/name=Port-blair,1,0.0 days,LOW,6.4 days,LOW,3.0 days,-,-,-
Porbandar,https://www.marinetraffic.com/en/ais/details/ports/538/name=Porbandar,1,1.5 days,MEDIUM,2.1 days,MEDIUM,2.1 days,1.3 days,-,-
Pipavav,https://www.marinetraffic.com/en/ais/details/ports/533/name=Pipavav,1,0.3 days,LOW,0.7 days,LOW,0.2 days,2.2 days,-,-
