ag-cell-content-link,ag-cell-content-link href,ag-cell-content 3,ag-cell-content 6,ag-cell-content 7,ag-cell-content 8,ag-cell-content 9,ag-cell-content 10,ag-cell-content 11,ag-cell-content 12,ag-cell-content 13
Kolkata,https://www.marinetraffic.com/en/ais/details/ports/2806/name=Kolkata,27,1.0 days,LOW,4.4 days,LOW,0.7 days,0.9 days,25.0%,10.0%
Kochi,https://www.marinetraffic.com/en/ais/details/ports/2990/name=Kochi,27,0.7 days,HIGH,1.0 days,HIGH,9.7 days,1.0 days,75.0%,11.1%
Kattupalli,https://www.marinetraffic.com/en/ais/details/ports/18979/name=Kattupalli,27,0.3 days,LOW,0.8 days,LOW,1.9 days,-40.0%,-11.1%,-
Karwar,https://www.marinetraffic.com/en/ais/details/ports/557/name=Karwar,27,LOW,1.7 days,LOW,-32.0%,-,-,-,-
Karaikal,https://www.marinetraffic.com/en/ais/details/ports/18978/name=Karaikal,27,3.8 days,LOW,2.9 days,LOW,1.7 days,-,-,-
Kandla,https://www.marinetraffic.com/en/ais/details/ports/269/name=Kandla,27,0.7 days,LOW,1.7 days,LOW,1.9 days,2.7 days,-30.0%,-10.5%
Kakinada,https://www.marinetraffic.com/en/ais/details/ports/18914/name=Kakinada,27,1.5 days,LOW,1.4 days,LOW,2.7 days,2.6 days,-25.0%,-68.9%
Jaigad,https://www.marinetraffic.com/en/ais/details/ports/18951/name=Jaigad,27,0.9 days,HIGH,1.0 days,HIGH,3.7 days,2.3 days,-50.0%,25.0%
Hazira,https://www.marinetraffic.com/en/ais/details/ports/537/name=Hazira,27,1.7 days,HIGH,1.1 days,HIGH,5.5 days,1.5 days,-39.3%,0.0%
Haldia,https://www.marinetraffic.com/en/ais/details/ports/18985/name=Haldia,27,0.6 days,LOW,2.0 days,LOW,2.2 days,2.6 days,20.0%,-4.8%
Gangavaram,https://www.marinetraffic.com/en/ais/details/ports/18980/name=Gangavaram,27,1.5 days,LOW,2.7 days,LOW,2.1 days,2.9 days,-25.0%,-22.9%
Ennore,https://www.marinetraffic.com/en/ais/details/ports/791/name=Ennore,27,6.8 days,HIGH,1.5 days,HIGH,3.1 days,0.9 days,257.9%,0.0%
Dharamtar,https://www.marinetraffic.com/en/ais/details/ports/21601/name=Dharamtar,27,0.5 days,LOW,0.5 days,LOW,1.4 days,4.8 days,-28.6%,-28.6%
Dhamra,https://www.marinetraffic.com/en/ais/details/ports/20607/name=Dhamra,27,2.0 days,LOW,1.6 days,LOW,2.4 days,1.1 days,17.6%,-36.0%
Dahej,https://www.marinetraffic.com/en/ais/details/ports/535/name=Dahej,27,0.4 days,HIGH,1.4 days,HIGH,1.1 days,300.0%,-6.7%,-
Cuddalore,https://www.marinetraffic.com/en/ais/details/ports/24893/name=Cuddalore,27,MEDIUM,1.2 days,MEDIUM,0.0%,-,-,-,-
Chennai,https://www.marinetraffic.com/en/ais/details/ports/792/name=Chennai,27,0.0 days,LOW,1.7 days,LOW,0.7 days,3.8 days,-100.0%,6.3%
Beypore,https://www.marinetraffic.com/en/ais/details/ports/18969/name=Beypore,27,0.5 days,LOW,3.3 days,LOW,2.8 days,0.0%,-58.2%,-
Visakhapatnam,https://www.marinetraffic.com/en/ais/details/ports/3048/name=Visakhapatnam,26,1.4 days,LOW,1.6 days,LOW,3.7 days,3.5 days,-,-
Vadinar,https://www.marinetraffic.com/en/ais/details/ports/559/name=Vadinar,26,0.3 days,LOW,1.5 days,LOW,1.8 days,0.7 days,-66.7%,-28.6%
Tuticorin,https://www.marinetraffic.com/en/ais/details/ports/2986/name=Tuticorin,26,0.5 days,MEDIUM,1.5 days,MEDIUM,0.3 days,4.0 days,66.7%,0.0%
Sikka,https://www.marinetraffic.com/en/ais/details/ports/560/name=Sikka,26,1.5 days,LOW,1.5 days,LOW,2.2 days,0.6 days,-25.0%,-6.3%
Port blair,https://www.marinetraffic.com/en/ais/details/ports/21891/name=Port-blair,26,MEDIUM,3.8 days,MEDIUM,-,-,-,-,-
Pipavav,https://www.marinetraffic.com/en/ais/details/ports/533/name=Pipavav,26,0.3 days,LOW,0.5 days,LOW,0.2 days,-80.0%,-50.0%,-
Paradip,https://www.marinetraffic.com/en/ais/details/ports/17379/name=Paradip,26,1.1 days,LOW,1.5 days,LOW,2.8 days,1.1 days,-,-
Nhava sheva,https://www.marinetraffic.com/en/ais/details/ports/2713/name=Nhava-sheva,26,0.8 days,LOW,0.9 days,LOW,10.3 days,1.7 days,33.3%,-10.0%
Mundra,https://www.marinetraffic.com/en/ais/details/ports/268/name=Mundra,26,0.3 days,HIGH,1.1 days,HIGH,1.5 days,1.0 days,0.0%,0.0%
Mumbai,https://www.marinetraffic.com/en/ais/details/ports/2341/name=Mumbai,26,0.8 days,HIGH,1.0 days,HIGH,12.0 days,2.1 days,0.0%,0.0%
Mormugao,https://www.marinetraffic.com/en/ais/details/ports/561/name=Mormugao,26,2.3 days,MEDIUM,3.9 days,MEDIUM,3.0 days,3.5 days,-,-
Mangalore,https://www.marinetraffic.com/en/ais/details/ports/17383/name=Mangalore,26,1.6 days,HIGH,1.6 days,HIGH,1.2 days,3.2 days,33.3%,14.3%
Magdalla,https://www.marinetraffic.com/en/ais/details/ports/19704/name=Magdalla,26,0.2 days,HIGH,1.0 days,HIGH,0.7 days,1.6 days,-60.0%,66.7%
Krishnapatnam,https://www.marinetraffic.com/en/ais/details/ports/1317/name=Krishnapatnam,26,1.5 days,HIGH,2.8 days,HIGH,1.9 days,2.2 days,-,-
Kolkata,https://www.marinetraffic.com/en/ais/details/ports/2806/name=Kolkata,26,0.8 days,LOW,4.0 days,LOW,0.5 days,10.4 days,60.0%,2.6%
Kochi,https://www.marinetraffic.com/en/ais/details/ports/2990/name=Kochi,26,0.4 days,LOW,0.9 days,LOW,3.4 days,0.9 days,100.0%,-18.2%
Kattupalli,https://www.marinetraffic.com/en/ais/details/ports/18979/name=Kattupalli,26,0.5 days,LOW,0.9 days,LOW,0.2 days,150.0%,12.5%,-
Karwar,https://www.marinetraffic.com/en/ais/details/ports/557/name=Karwar,26,MEDIUM,2.5 days,MEDIUM,0.9 days,25.0%,-,-,-
Karaikal,https://www.marinetraffic.com/en/ais/details/ports/18978/name=Karaikal,26,0.4 days,MEDIUM,2.3 days,MEDIUM,0.4 days,-,-,-
Kandla,https://www.marinetraffic.com/en/ais/details/ports/269/name=Kandla,26,1.0 days,HIGH,1.9 days,HIGH,1.9 days,3.1 days,25.0%,18.8%
Kakinada,https://www.marinetraffic.com/en/ais/details/ports/18914/name=Kakinada,26,2.0 days,LOW,4.5 days,LOW,4.4 days,8.8 days,400.0%,4.7%
Jaigad,https://www.marinetraffic.com/en/ais/details/ports/18951/name=Jaigad,26,1.8 days,LOW,0.8 days,LOW,2.4 days,2.3 days,-21.7%,-27.3%
Hazira,https://www.marinetraffic.com/en/ais/details/ports/537/name=Hazira,26,2.8 days,HIGH,1.1 days,HIGH,5.9 days,3.2 days,133.3%,10.0%
Haldia,https://www.marinetraffic.com/en/ais/details/ports/18985/name=Haldia,26,0.5 days,LOW,2.1 days,LOW,2.0 days,2.8 days,-37.5%,40.0%
Gangavaram,https://www.marinetraffic.com/en/ais/details/ports/18980/name=Gangavaram,26,2.0 days,LOW,3.5 days,LOW,2.0 days,3.9 days,0.0%,20.7%
Ennore,https://www.marinetraffic.com/en/ais/details/ports/791/name=Ennore,26,1.9 days,LOW,1.5 days,LOW,4.1 days,2.2 days,46.1%,15.4%
Dharamtar,https://www.marinetraffic.com/en/ais/details/ports/21601/name=Dharamtar,26,0.7 days,LOW,0.7 days,LOW,0.8 days,1.0 days,40.0%,16.7%
Dhamra,https://www.marinetraffic.com/en/ais/details/ports/20607/name=Dhamra,26,1.7 days,LOW,2.5 days,LOW,6.7 days,1.8 days,-26.1%,19.1%
Dahej,https://www.marinetraffic.com/en/ais/details/ports/535/name=Dahej,26,0.1 days,LOW,1.4 days,LOW,0.1 days,1.5 days,0.0%,-6.7%
Chennai,https://www.marinetraffic.com/en/ais/details/ports/792/name=Chennai,26,0.2 days,LOW,1.6 days,LOW,6.8 days,1.9 days,100.0%,23.1%
Bhavnagar new port,https://www.marinetraffic.com/en/ais/details/ports/22247/name=Bhavnagar-new-port,26,0.3 days,MEDIUM,5.8 days,MEDIUM,-83.3%,5700.0%,-,-
Visakhapatnam,https://www.marinetraffic.com/en/ais/details/ports/3048/name=Visakhapatnam,25,2.5 days,HIGH,2.1 days,HIGH,2.9 days,1.9 days,-,-
Vadinar,https://www.marinetraffic.com/en/ais/details/ports/559/name=Vadinar,25,0.9 days,HIGH,2.1 days,HIGH,1.3 days,0.5 days,-,-
Tuticorin,https://www.marinetraffic.com/en/ais/details/ports/2986/name=Tuticorin,25,0.3 days,HIGH,1.5 days,HIGH,1.8 days,1.8 days,-,-
Sikka,https://www.marinetraffic.com/en/ais/details/ports/560/name=Sikka,25,2.0 days,HIGH,1.6 days,HIGH,2.0 days,0.5 days,-,-
Pipavav,https://www.marinetraffic.com/en/ais/details/ports/533/name=Pipavav,25,1.5 days,HIGH,1.0 days,HIGH,1.2 days,0.9 days,-,-
Paradip,https://www.marinetraffic.com/en/ais/details/ports/17379/name=Paradip,25,1.4 days,HIGH,1.4 days,HIGH,2.4 days,1.4 days,-,-
Nhava sheva,https://www.marinetraffic.com/en/ais/details/ports/2713/name=Nhava-sheva,25,0.6 days,HIGH,1.0 days,HIGH,16.1 days,3.2 days,-,-
Navlakhi,https://www.marinetraffic.com/en/ais/details/ports/21448/name=Navlakhi,25,0.3 days,MEDIUM,0.6 days,MEDIUM,0.6 days,0.4 days,-,-
Mundra,https://www.marinetraffic.com/en/ais/details/ports/268/name=Mundra,25,0.3 days,HIGH,1.1 days,HIGH,1.5 days,1.5 days,-,-
Mumbai,https://www.marinetraffic.com/en/ais/details/ports/2341/name=Mumbai,25,0.8 days,HIGH,1.0 days,HIGH,2.6 days,2.2 days,-,-
Mormugao,https://www.marinetraffic.com/en/ais/details/ports/561/name=Mormugao,25,2.1 days,MEDIUM,2.4 days,MEDIUM,15.0 days,1.8 days,-,-
Mangalore,https://www.marinetraffic.com/en/ais/details/ports/17383/name=Mangalore,25,1.2 days,HIGH,1.4 days,HIGH,2.0 days,1.1 days,-,-
Magdalla,https://www.marinetraffic.com/en/ais/details/ports/19704/name=Magdalla,25,0.5 days,HIGH,0.6 days,HIGH,0.3 days,0.7 days,-,-
Krishnapatnam,https://www.marinetraffic.com/en/ais/details/ports/1317/name=Krishnapatnam,25,1.1 days,HIGH,2.4 days,HIGH,3.2 days,1.9 days,-,-
Kolkata,https://www.marinetraffic.com/en/ais/details/ports/2806/name=Kolkata,25,0.5 days,HIGH,3.9 days,HIGH,0.3 days,2.0 days,-,-
Kochi,https://www.marinetraffic.com/en/ais/details/ports/2990/name=Kochi,25,0.2 days,HIGH,1.1 days,HIGH,4.0 days,0.9 days,-,-
Kattupalli,https://www.marinetraffic.com/en/ais/details/ports/18979/name=Kattupalli,25,0.2 days,HIGH,0.8 days,HIGH,0.1 days,0.2 days,-,-
Karwar,https://www.marinetraffic.com/en/ais/details/ports/557/name=Karwar,25,MEDIUM,2.0 days,MEDIUM,-,-,-,-,-
Karaikal,https://www.marinetraffic.com/en/ais/details/ports/18978/name=Karaikal,25,MEDIUM,1.9 days,MEDIUM,-,-,-,-,-
Kandla,https://www.marinetraffic.com/en/ais/details/ports/269/name=Kandla,25,0.8 days,HIGH,1.6 days,HIGH,2.2 days,2.5 days,-,-
Kakinada,https://www.marinetraffic.com/en/ais/details/ports/18914/name=Kakinada,25,0.4 days,HIGH,4.3 days,HIGH,4.5 days,6.7 days,-,-
Jaigad,https://www.marinetraffic.com/en/ais/details/ports/18951/name=Jaigad,25,2.3 days,HIGH,1.1 days,HIGH,6.3 days,3.9 days,-,-
Hazira,https://www.marinetraffic.com/en/ais/details/ports/537/name=Hazira,25,1.2 days,HIGH,1.0 days,HIGH,4.9 days,1.4 days,-,-
Haldia,https://www.marinetraffic.com/en/ais/details/ports/18985/name=Haldia,25,0.8 days,HIGH,1.5 days,HIGH,2.2 days,1.3 days,-,-
Gangavaram,https://www.marinetraffic.com/en/ais/details/ports/18980/name=Gangavaram,25,2.0 days,MEDIUM,2.9 days,MEDIUM,1.0 days,1.7 days,-,-
Ennore,https://www.marinetraffic.com/en/ais/details/ports/791/name=Ennore,25,1.3 days,HIGH,1.3 days,HIGH,1.2 days,1.6 days,-,-
Dighi,https://www.marinetraffic.com/en/ais/details/ports/18948/name=Dighi,25,0.8 days,MEDIUM,3.0 days,MEDIUM,-,-,-,-
Dharamtar,https://www.marinetraffic.com/en/ais/details/ports/21601/name=Dharamtar,25,0.5 days,HIGH,0.6 days,HIGH,3.5 days,1.3 days,-,-
Dhamra,https://www.marinetraffic.com/en/ais/details/ports/20607/name=Dhamra,25,2.3 days,HIGH,2.1 days,HIGH,2.9 days,1.3 days,-,-
Dahej,https://www.marinetraffic.com/en/ais/details/ports/535/name=Dahej,25,0.1 days,HIGH,1.5 days,HIGH,2.0 days,-,-,-
Cuddalore,https://www.marinetraffic.com/en/ais/details/ports/24893/name=Cuddalore,25,MEDIUM,1.2 days,MEDIUM,-,-,-,-,-
Chennai,https://www.marinetraffic.com/en/ais/details/ports/792/name=Chennai,25,0.1 days,HIGH,1.3 days,HIGH,0.8 days,1.0 days,-,-
Bhavnagar new port,https://www.marinetraffic.com/en/ais/details/ports/22247/name=Bhavnagar-new-port,25,1.8 days,MEDIUM,0.1 days,MEDIUM,-,-,-,-
Beypore,https://www.marinetraffic.com/en/ais/details/ports/18969/name=Beypore,25,0.0 days,MEDIUM,7.9 days,MEDIUM,0.2 days,8.2 days,-,-
