ag-cell-content-link,ag-cell-content-link href,ag-cell-content 3,ag-cell-content 6,ag-cell-content 7,ag-cell-content 8,ag-cell-content 9,ag-cell-content 10,ag-cell-content 11,ag-cell-content 12,ag-cell-content 13
Ennore,https://www.marinetraffic.com/en/ais/details/ports/791/name=Ennore,31,0.8 days,LOW,1.0 days,LOW,1.0 days,1.7 days,-69.2%,-33.3%
Dharamtar,https://www.marinetraffic.com/en/ais/details/ports/21601/name=Dharamtar,31,0.5 days,LOW,0.5 days,LOW,0.7 days,2.1 days,-16.7%,-28.6%
Dhamra,https://www.marinetraffic.com/en/ais/details/ports/20607/name=Dhamra,31,2.9 days,LOW,3.2 days,LOW,2.5 days,1.4 days,163.6%,33.3%
Dahej,https://www.marinetraffic.com/en/ais/details/ports/535/name=Dahej,31,0.8 days,HIGH,1.4 days,HIGH,1.1 days,1.8 days,27.3%,-
Cuddalore,https://www.marinetraffic.com/en/ais/details/ports/24893/name=Cuddalore,31,LOW,1.3 days,LOW,0.0%,-,-,-,-
Chennai,https://www.marinetraffic.com/en/ais/details/ports/792/name=Chennai,31,0.2 days,LOW,1.7 days,LOW,0.8 days,2.0 days,0.0%,6.3%
Bhavnagar new port,https://www.marinetraffic.com/en/ais/details/ports/22247/name=Bhavnagar-new-port,31,0.2 days,MEDIUM,0.1 days,MEDIUM,0.1 days,1.5 days,0.0%,0.0%
Beypore,https://www.marinetraffic.com/en/ais/details/ports/18969/name=Beypore,31,0.9 days,MEDIUM,7.2 days,MEDIUM,5.8 days,50.0%,554.5%,-
Visakhapatnam,https://www.marinetraffic.com/en/ais/details/ports/3048/name=Visakhapatnam,30,2.2 days,LOW,2.6 days,LOW,2.3 days,3.5 days,37.5%,4.0%
Vadinar,https://www.marinetraffic.com/en/ais/details/ports/559/name=Vadinar,30,0.3 days,HIGH,1.6 days,HIGH,3.1 days,0.4 days,-70.0%,-15.8%
Tuticorin,https://www.marinetraffic.com/en/ais/details/ports/2986/name=Tuticorin,30,0.3 days,LOW,2.1 days,LOW,1.4 days,2.3 days,0.0%,16.7%
Sikka,https://www.marinetraffic.com/en/ais/details/ports/560/name=Sikka,30,2.0 days,LOW,1.4 days,LOW,3.9 days,0.7 days,-4.8%,-12.5%
Porbandar,https://www.marinetraffic.com/en/ais/details/ports/538/name=Porbandar,30,LOW,1.0 days,LOW,0.2 days,-,-,-,-
Pipavav,https://www.marinetraffic.com/en/ais/details/ports/533/name=Pipavav,30,1.1 days,LOW,0.9 days,LOW,2.8 days,1.9 days,450.0%,50.0%
Paradip,https://www.marinetraffic.com/en/ais/details/ports/17379/name=Paradip,30,1.3 days,HIGH,1.4 days,HIGH,2.4 days,2.6 days,-7.1%,-22.2%
Okha,https://www.marinetraffic.com/en/ais/details/ports/558/name=Okha,30,MEDIUM,53.8 days,MEDIUM,-,-,-,-,-
Nhava sheva,https://www.marinetraffic.com/en/ais/details/ports/2713/name=Nhava-sheva,30,0.6 days,MEDIUM,1.0 days,MEDIUM,12.0 days,4.4 days,-25.0%,0.0%
Navlakhi,https://www.marinetraffic.com/en/ais/details/ports/21448/name=Navlakhi,30,0.7 days,MEDIUM,17.4 days,MEDIUM,0.7 days,22.3 days,250.0%,-34.1%
Mundra,https://www.marinetraffic.com/en/ais/details/ports/268/name=Mundra,30,0.3 days,LOW,0.9 days,LOW,0.2 days,0.8 days,0.0%,-10.0%
Mumbai,https://www.marinetraffic.com/en/ais/details/ports/2341/name=Mumbai,30,0.8 days,LOW,1.5 days,LOW,5.0 days,3.5 days,33.3%,66.7%
Mormugao,https://www.marinetraffic.com/en/ais/details/ports/561/name=Mormugao,30,1.6 days,LOW,5.9 days,LOW,0.8 days,3.7 days,60.0%,136.0%
Mangalore,https://www.marinetraffic.com/en/ais/details/ports/17383/name=Mangalore,30,0.5 days,HIGH,1.5 days,HIGH,0.4 days,0.9 days,-16.7%,-21.1%
Magdalla,https://www.marinetraffic.com/en/ais/details/ports/19704/name=Magdalla,30,0.4 days,LOW,0.6 days,LOW,1.3 days,1.0 days,0.0%,-40.0%
Krishnapatnam,https://www.marinetraffic.com/en/ais/details/ports/1317/name=Krishnapatnam,30,0.1 days,LOW,2.3 days,LOW,1.1 days,2.6 days,-80.0%,9.5%
Kolkata,https://www.marinetraffic.com/en/ais/details/ports/2806/name=Kolkata,30,1.8 days,LOW,4.5 days,LOW,1.0 days,10.5 days,200.0%,55.2%
Kochi,https://www.marinetraffic.com/en/ais/details/ports/2990/name=Kochi,30,0.3 days,LOW,1.1 days,LOW,0.4 days,3.3 days,50.0%,10.0%
Kattupalli,https://www.marinetraffic.com/en/ais/details/ports/18979/name=Kattupalli,30,1.0 days,LOW,0.6 days,LOW,0.5 days,-14.3%,-,-
Kandla,https://www.marinetraffic.com/en/ais/details/ports/269/name=Kandla,30,0.6 days,HIGH,1.6 days,HIGH,1.8 days,1.3 days,0.0%,0.0%
Kakinada,https://www.marinetraffic.com/en/ais/details/ports/18914/name=Kakinada,30,0.7 days,LOW,3.6 days,LOW,0.5 days,8.6 days,-22.2%,89.5%
Jaigad,https://www.marinetraffic.com/en/ais/details/ports/18951/name=Jaigad,30,0.8 days,LOW,1.9 days,LOW,1.3 days,4.0 days,-27.3%,72.7%
Hazira,https://www.marinetraffic.com/en/ais/details/ports/537/name=Hazira,30,0.8 days,HIGH,1.1 days,HIGH,7.8 days,3.6 days,60.0%,10.0%
Haldia,https://www.marinetraffic.com/en/ais/details/ports/18985/name=Haldia,30,0.5 days,HIGH,2.0 days,HIGH,2.8 days,0.8 days,-37.5%,0.0%
Gangavaram,https://www.marinetraffic.com/en/ais/details/ports/18980/name=Gangavaram,30,2.0 days,LOW,3.8 days,LOW,2.4 days,2.9 days,-44.4%,-39.7%
Ennore,https://www.marinetraffic.com/en/ais/details/ports/791/name=Ennore,30,2.6 days,LOW,1.5 days,LOW,1.7 days,1.3 days,100.0%,15.4%
Dharamtar,https://www.marinetraffic.com/en/ais/details/ports/21601/name=Dharamtar,30,0.6 days,LOW,0.7 days,LOW,0.9 days,10.2 days,0.0%,0.0%
Dhamra,https://www.marinetraffic.com/en/ais/details/ports/20607/name=Dhamra,30,1.1 days,LOW,2.4 days,LOW,2.3 days,2.1 days,-56.0%,20.0%
Dahej,https://www.marinetraffic.com/en/ais/details/ports/535/name=Dahej,30,LOW,1.1 days,LOW,0.8 days,-15.4%,-,-,-
Cuddalore,https://www.marinetraffic.com/en/ais/details/ports/24893/name=Cuddalore,30,LOW,1.3 days,LOW,30.0%,-,-,-,-
Chennai,https://www.marinetraffic.com/en/ais/details/ports/792/name=Chennai,30,0.2 days,HIGH,1.6 days,HIGH,1.5 days,3.4 days,-60.0%,0.0%
Bhavnagar new port,https://www.marinetraffic.com/en/ais/details/ports/22247/name=Bhavnagar-new-port,30,0.2 days,HIGH,0.1 days,HIGH,0.1 days,0.1 days,0.0%,0.0%
Beypore,https://www.marinetraffic.com/en/ais/details/ports/18969/name=Beypore,30,0.6 days,LOW,1.1 days,LOW,0.5 days,1.5 days,500.0%,-68.6%
Visakhapatnam,https://www.marinetraffic.com/en/ais/details/ports/3048/name=Visakhapatnam,29,1.6 days,HIGH,2.5 days,HIGH,3.9 days,4.6 days,433.3%,38.9%
Vadinar,https://www.marinetraffic.com/en/ais/details/ports/559/name=Vadinar,29,1.0 days,HIGH,1.9 days,HIGH,0.9 days,0.5 days,25.0%,-9.5%
Tuticorin,https://www.marinetraffic.com/en/ais/details/ports/2986/name=Tuticorin,29,0.3 days,LOW,1.8 days,LOW,0.4 days,1.6 days,-57.1%,-18.2%
Sikka,https://www.marinetraffic.com/en/ais/details/ports/560/name=Sikka,29,2.1 days,HIGH,1.6 days,HIGH,2.2 days,0.6 days,-36.4%,-5.9%
Port blair,https://www.marinetraffic.com/en/ais/details/ports/21891/name=Port-blair,29,MEDIUM,2.0 days,MEDIUM,2.4 days,185.7%,-,-,-
Porbandar,https://www.marinetraffic.com/en/ais/details/ports/538/name=Porbandar,29,MEDIUM,4.0 days,MEDIUM,-,-,-,-,-
Pipavav,https://www.marinetraffic.com/en/ais/details/ports/533/name=Pipavav,29,0.2 days,LOW,0.6 days,LOW,0.1 days,0.7 days,-75.0%,-33.3%
Paradip,https://www.marinetraffic.com/en/ais/details/ports/17379/name=Paradip,29,1.4 days,LOW,1.8 days,LOW,2.6 days,1.3 days,-44.0%,-5.3%
Nhava sheva,https://www.marinetraffic.com/en/ais/details/ports/2713/name=Nhava-sheva,29,0.8 days,LOW,1.0 days,LOW,5.7 days,1.1 days,0.0%,-9.1%
Navlakhi,https://www.marinetraffic.com/en/ais/details/ports/21448/name=Navlakhi,29,0.2 days,LOW,26.4 days,LOW,1.9 days,14.3 days,-71.4%,13100.0%
Mundra,https://www.marinetraffic.com/en/ais/details/ports/268/name=Mundra,29,0.4 days,HIGH,1.1 days,HIGH,0.6 days,1.1 days,33.3%,10.0%
Mumbai,https://www.marinetraffic.com/en/ais/details/ports/2341/name=Mumbai,29,0.8 days,LOW,0.8 days,LOW,6.0 days,4.3 days,0.0%,-61.9%
Mormugao,https://www.marinetraffic.com/en/ais/details/ports/561/name=Mormugao,29,0.6 days,LOW,2.3 days,LOW,0.8 days,2.2 days,20.0%,-14.8%
Mangalore,https://www.marinetraffic.com/en/ais/details/ports/17383/name=Mangalore,29,0.6 days,HIGH,1.9 days,HIGH,1.1 days,1.7 days,-25.0%,26.7%
Magdalla,https://www.marinetraffic.com/en/ais/details/ports/19704/name=Magdalla,29,0.4 days,HIGH,1.0 days,HIGH,0.3 days,0.8 days,-33.3%,0.0%
Krishnapatnam,https://www.marinetraffic.com/en/ais/details/ports/1317/name=Krishnapatnam,29,0.5 days,HIGH,2.1 days,HIGH,0.6 days,2.1 days,-28.6%,-8.7%
Kolkata,https://www.marinetraffic.com/en/ais/details/ports/2806/name=Kolkata,29,0.6 days,LOW,2.9 days,LOW,1.7 days,1.0 days,0.0%,-25.6%
Kochi,https://www.marinetraffic.com/en/ais/details/ports/2990/name=Kochi,29,0.2 days,LOW,1.0 days,LOW,6.7 days,2.2 days,-60.0%,25.0%
Kattupalli,https://www.marinetraffic.com/en/ais/details/ports/18979/name=Kattupalli,29,LOW,0.7 days,LOW,1.0 days,-12.5%,-,-,-
Karaikal,https://www.marinetraffic.com/en/ais/details/ports/18978/name=Karaikal,29,MEDIUM,2.2 days,MEDIUM,1.0 days,-4.3%,-,-,-
Kandla,https://www.marinetraffic.com/en/ais/details/ports/269/name=Kandla,29,0.6 days,HIGH,1.6 days,HIGH,2.0 days,1.9 days,-33.3%,-5.9%
Kakinada,https://www.marinetraffic.com/en/ais/details/ports/18914/name=Kakinada,29,0.9 days,HIGH,1.9 days,HIGH,0.7 days,13.6 days,-40.0%,35.7%
Jaigad,https://www.marinetraffic.com/en/ais/details/ports/18951/name=Jaigad,29,1.1 days,LOW,1.1 days,LOW,5.2 days,3.3 days,-66.7%,120.0%
Hazira,https://www.marinetraffic.com/en/ais/details/ports/537/name=Hazira,29,0.5 days,HIGH,1.0 days,HIGH,6.5 days,1.3 days,-76.2%,-28.6%
Haldia,https://www.marinetraffic.com/en/ais/details/ports/18985/name=Haldia,29,0.8 days,MEDIUM,2.0 days,MEDIUM,5.8 days,0.7 days,33.3%,0.0%
Gangavaram,https://www.marinetraffic.com/en/ais/details/ports/18980/name=Gangavaram,29,3.6 days,LOW,6.3 days,LOW,2.4 days,2.6 days,-,-
Ennore,https://www.marinetraffic.com/en/ais/details/ports/791/name=Ennore,29,1.3 days,LOW,1.3 days,LOW,0.9 days,2.1 days,85.7%,-7.1%
