ag-cell-content-link,ag-cell-content-link href,ag-cell-content 3,ag-cell-content 6,ag-cell-content 7,ag-cell-content 8,ag-cell-content 9,ag-cell-content 10,ag-cell-content 11,ag-cell-content 12,ag-cell-content 13,ag-cell-content 14
Pipavav,https://www.marinetraffic.com/en/ais/details/ports/533/name=Pipavav,20,0.5 days,HIGH,0.8 days,HIGH,1.9 days,0.4 days,-37.5%,0.0%,
Paradip,https://www.marinetraffic.com/en/ais/details/ports/17379/name=Paradip,20,0.9 days,HIGH,1.4 days,HIGH,1.8 days,0.9 days,-57.1%,-6.7%,
Okha,https://www.marinetraffic.com/en/ais/details/ports/558/name=Okha,20,2.4 days,LOW,2.1 days,LOW,2.8 days,1.6 days,-92.7%,-81.4%,
Nhava sheva,https://www.marinetraffic.com/en/ais/details/ports/2713/name=Nhava-sheva,20,0.7 days,HIGH,1.0 days,HIGH,3.1 days,0.5 days,-12.5%,11.1%,
Mundra,https://www.marinetraffic.com/en/ais/details/ports/268/name=Mundra,20,0.8 days,HIGH,1.3 days,HIGH,3.9 days,2.7 days,60.0%,18.2%,
Mumbai,https://www.marinetraffic.com/en/ais/details/ports/2341/name=Mumbai,20,0.8 days,LOW,0.6 days,LOW,19.2 days,2.1 days,-42.9%,-60.0%,
Mormugao,https://www.marinetraffic.com/en/ais/details/ports/561/name=Mormugao,20,0.4 days,MEDIUM,2.3 days,MEDIUM,1.4 days,1.3 days,-20.0%,-14.8%,
Mangalore,https://www.marinetraffic.com/en/ais/details/ports/17383/name=Mangalore,20,1.8 days,LOW,1.5 days,LOW,2.9 days,1.1 days,125.0%,7.1%,
Magdalla,https://www.marinetraffic.com/en/ais/details/ports/19704/name=Magdalla,20,0.4 days,LOW,0.6 days,LOW,0.2 days,1.1 days,0.0%,20.0%,
Krishnapatnam,https://www.marinetraffic.com/en/ais/details/ports/1317/name=Krishnapatnam,20,0.5 days,LOW,3.5 days,LOW,0.3 days,2.0 days,-50.0%,0.0%,
Kolkata,https://www.marinetraffic.com/en/ais/details/ports/2806/name=Kolkata,20,1.0 days,LOW,2.8 days,LOW,0.5 days,2.7 days,11.1%,-20.0%,
Kochi,https://www.marinetraffic.com/en/ais/details/ports/2990/name=Kochi,20,0.9 days,HIGH,0.9 days,HIGH,5.0 days,8.1 days,125.0%,0.0%,
Kattupalli,https://www.marinetraffic.com/en/ais/details/ports/18979/name=Kattupalli,20,0.4 days,HIGH,0.7 days,HIGH,0.9 days,0.9 days,300.0%,-53.3%,
Karwar,https://www.marinetraffic.com/en/ais/details/ports/557/name=Karwar,20,3.5 days,LOW,1.1 days,LOW,0.1 days,-21.4%,-,-,
Karaikal,https://www.marinetraffic.com/en/ais/details/ports/18978/name=Karaikal,20,0.8 days,MEDIUM,2.0 days,MEDIUM,0.3 days,0.2 days,60.0%,0.0%,
Kandla,https://www.marinetraffic.com/en/ais/details/ports/269/name=Kandla,20,3.4 days,LOW,1.6 days,LOW,6.9 days,3.0 days,21.4%,-30.4%,
Kakinada,https://www.marinetraffic.com/en/ais/details/ports/18914/name=Kakinada,20,0.3 days,LOW,3.2 days,LOW,4.0 days,2.1 days,-84.2%,39.1%,
Jaigad,https://www.marinetraffic.com/en/ais/details/ports/18951/name=Jaigad,20,1.1 days,MEDIUM,0.8 days,MEDIUM,0.8 days,1.2 days,-84.7%,14.3%,
Jafrabad,https://www.marinetraffic.com/en/ais/details/ports/3078/name=Jafrabad,20,0.9 days,LOW,0.5 days,LOW,0.2 days,0.3 days,-25.0%,25.0%,
Hazira,https://www.marinetraffic.com/en/ais/details/ports/537/name=Hazira,20,0.6 days,MEDIUM,1.0 days,MEDIUM,2.4 days,5.1 days,-25.0%,0.0%,
Haldia,https://www.marinetraffic.com/en/ais/details/ports/18985/name=Haldia,20,0.8 days,LOW,1.9 days,LOW,3.8 days,1.0 days,0.0%,26.7%,
Gangavaram,https://www.marinetraffic.com/en/ais/details/ports/18980/name=Gangavaram,20,1.5 days,LOW,1.9 days,LOW,2.6 days,3.2 days,66.7%,-13.6%,
Ennore,https://www.marinetraffic.com/en/ais/details/ports/791/name=Ennore,20,1.6 days,LOW,1.3 days,LOW,1.6 days,1.1 days,128.6%,-7.1%,
Dighi,https://www.marinetraffic.com/en/ais/details/ports/18948/name=Dighi,20,0.2 days,MEDIUM,1.3 days,MEDIUM,-80.0%,8.3%,-,-,
Dharamtar,https://www.marinetraffic.com/en/ais/details/ports/21601/name=Dharamtar,20,0.7 days,HIGH,0.6 days,HIGH,13.2 days,0.4 days,-12.5%,0.0%,
Dhamra,https://www.marinetraffic.com/en/ais/details/ports/20607/name=Dhamra,20,1.2 days,LOW,2.1 days,LOW,1.2 days,0.9 days,-62.5%,-19.2%,
Dahej,https://www.marinetraffic.com/en/ais/details/ports/535/name=Dahej,20,1.6 days,LOW,1.3 days,LOW,1.7 days,1.4 days,-67.3%,-13.3%,
Cuddalore,https://www.marinetraffic.com/en/ais/details/ports/24893/name=Cuddalore,20,MEDIUM,1.1 days,MEDIUM,0.4 days,-8.3%,-,-,-,
Chennai,https://www.marinetraffic.com/en/ais/details/ports/792/name=Chennai,20,0.2 days,HIGH,1.4 days,HIGH,0.6 days,4.6 days,-33.3%,-6.7%,
Beypore,https://www.marinetraffic.com/en/ais/details/ports/18969/name=Beypore,20,0.4 days,MEDIUM,5.1 days,MEDIUM,0.1 days,16.9 days,300.0%,2.0%,
Visakhapatnam,https://www.marinetraffic.com/en/ais/details/ports/3048/name=Visakhapatnam,19,1.5 days,LOW,2.0 days,LOW,1.9 days,8.2 days,87.5%,-25.9%,
Vadinar,https://www.marinetraffic.com/en/ais/details/ports/559/name=Vadinar,19,1.0 days,LOW,1.6 days,LOW,1.6 days,0.6 days,-9.1%,14.3%,
Tuticorin,https://www.marinetraffic.com/en/ais/details/ports/2986/name=Tuticorin,19,1.0 days,LOW,1.3 days,LOW,4.0 days,7.1 days,25.0%,-18.8%,
Sikka,https://www.marinetraffic.com/en/ais/details/ports/560/name=Sikka,19,2.4 days,MEDIUM,1.5 days,MEDIUM,2.0 days,0.7 days,140.0%,7.1%,
Ratnagiri,https://www.marinetraffic.com/en/ais/details/ports/18952/name=Ratnagiri,19,0.6 days,MEDIUM,1.2 days,MEDIUM,0.2 days,0.3 days,-25.0%,-7.7%,
Ranpar,https://www.marinetraffic.com/en/ais/details/ports/18953/name=Ranpar,19,0.5 days,LOW,0.9 days,LOW,0.0 days,-61.5%,-30.8%,-,
Port blair,https://www.marinetraffic.com/en/ais/details/ports/21891/name=Port-blair,19,LOW,7.1 days,LOW,4.5 days,108.8%,-,-,-,
Porbandar,https://www.marinetraffic.com/en/ais/details/ports/538/name=Porbandar,19,2.9 days,MEDIUM,2.7 days,MEDIUM,1.7 days,1.5 days,-21.6%,35.0%,
Pipavav,https://www.marinetraffic.com/en/ais/details/ports/533/name=Pipavav,19,0.8 days,MEDIUM,0.8 days,MEDIUM,1.1 days,1.4 days,0.0%,0.0%,
Paradip,https://www.marinetraffic.com/en/ais/details/ports/17379/name=Paradip,19,2.1 days,LOW,1.5 days,LOW,2.3 days,1.5 days,5.0%,-21.1%,
Okha,https://www.marinetraffic.com/en/ais/details/ports/558/name=Okha,19,0.1 days,LOW,3.7 days,LOW,-98.1%,23.3%,-,-,
Nhava sheva,https://www.marinetraffic.com/en/ais/details/ports/2713/name=Nhava-sheva,19,0.8 days,MEDIUM,0.9 days,MEDIUM,22.0 days,3.5 days,60.0%,0.0%,
Mundra,https://www.marinetraffic.com/en/ais/details/ports/268/name=Mundra,19,0.5 days,LOW,1.1 days,LOW,1.4 days,1.7 days,66.7%,10.0%,
Mumbai,https://www.marinetraffic.com/en/ais/details/ports/2341/name=Mumbai,19,1.4 days,LOW,1.5 days,LOW,3.4 days,9.8 days,75.0%,50.0%,
Muldwarka,https://www.marinetraffic.com/en/ais/details/ports/3077/name=Muldwarka,19,4.2 days,MEDIUM,2.9 days,MEDIUM,-,-,-,-,
Mormugao,https://www.marinetraffic.com/en/ais/details/ports/561/name=Mormugao,19,0.1 days,LOW,2.1 days,LOW,0.7 days,-90.9%,-8.7%,-,
Mangalore,https://www.marinetraffic.com/en/ais/details/ports/17383/name=Mangalore,19,0.8 days,LOW,1.4 days,LOW,1.6 days,1.0 days,-20.0%,7.7%,
Magdalla,https://www.marinetraffic.com/en/ais/details/ports/19704/name=Magdalla,19,0.4 days,HIGH,0.5 days,HIGH,0.3 days,0.7 days,-20.0%,0.0%,
Krishnapatnam,https://www.marinetraffic.com/en/ais/details/ports/1317/name=Krishnapatnam,19,0.5 days,LOW,2.5 days,LOW,0.8 days,2.0 days,-50.0%,-28.6%,
Kolkata,https://www.marinetraffic.com/en/ais/details/ports/2806/name=Kolkata,19,0.9 days,LOW,3.5 days,LOW,0.4 days,5.6 days,-30.8%,25.0%,
Kochi,https://www.marinetraffic.com/en/ais/details/ports/2990/name=Kochi,19,0.4 days,HIGH,0.9 days,HIGH,1.4 days,4.1 days,0.0%,-10.0%,
Kattupalli,https://www.marinetraffic.com/en/ais/details/ports/18979/name=Kattupalli,19,0.1 days,LOW,1.5 days,LOW,1.1 days,-80.0%,114.3%,-,
Karwar,https://www.marinetraffic.com/en/ais/details/ports/557/name=Karwar,19,LOW,1.4 days,LOW,1.0 days,-36.4%,-,-,-,
Karaikal,https://www.marinetraffic.com/en/ais/details/ports/18978/name=Karaikal,19,0.5 days,MEDIUM,2.0 days,MEDIUM,0.3 days,0.1 days,-54.5%,5.3%,
Kandla,https://www.marinetraffic.com/en/ais/details/ports/269/name=Kandla,19,2.8 days,LOW,2.3 days,LOW,6.1 days,3.0 days,133.3%,35.3%,
Kakinada,https://www.marinetraffic.com/en/ais/details/ports/18914/name=Kakinada,19,1.9 days,LOW,2.3 days,LOW,1.3 days,8.9 days,216.7%,-14.8%,
Jaigad,https://www.marinetraffic.com/en/ais/details/ports/18951/name=Jaigad,19,1.0 days,HIGH,0.8 days,HIGH,1.7 days,2.1 days,-86.1%,14.3%,
Jafrabad,https://www.marinetraffic.com/en/ais/details/ports/3078/name=Jafrabad,19,1.2 days,MEDIUM,0.4 days,MEDIUM,0.3 days,0.1 days,20.0%,33.3%,
