ag-cell-content-link,ag-cell-content-link href,ag-cell-content 3,ag-cell-content 6,ag-cell-content 7,ag-cell-content 8,ag-cell-content 9,ag-cell-content 10,ag-cell-content 11,ag-cell-content 12,ag-cell-content 13,ag-cell-content 14
Okha,https://www.marinetraffic.com/en/ais/details/ports/558/name=Okha,17,4.9 days,MEDIUM,3.5 days,MEDIUM,0.0%,12.9%,,-,0.6 days
Nhava sheva,https://www.marinetraffic.com/en/ais/details/ports/2713/name=Nhava-sheva,17,1.1 days,HIGH,1.0 days,HIGH,4.4 days,37.5%,0.0%,,0.5 days
Navlakhi,https://www.marinetraffic.com/en/ais/details/ports/21448/name=Navlakhi,17,6.3 days,MEDIUM,1.7 days,MEDIUM,4.2 days,800.0%,1600.0%,,1.1 days
Mundra,https://www.marinetraffic.com/en/ais/details/ports/268/name=Mundra,17,0.3 days,HIGH,1.1 days,HIGH,1.0 days,0.0%,10.0%,,2.4 days
Mumbai,https://www.marinetraffic.com/en/ais/details/ports/2341/name=Mumbai,17,0.7 days,LOW,0.9 days,LOW,6.2 days,-41.7%,-35.7%,,3.5 days
Mormugao,https://www.marinetraffic.com/en/ais/details/ports/561/name=Mormugao,17,0.5 days,MEDIUM,2.7 days,MEDIUM,2.5 days,66.7%,0.0%,,1.8 days
Mangalore,https://www.marinetraffic.com/en/ais/details/ports/17383/name=Mangalore,17,0.9 days,HIGH,1.6 days,HIGH,1.6 days,-30.8%,0.0%,,1.1 days
Magdalla,https://www.marinetraffic.com/en/ais/details/ports/19704/name=Magdalla,17,0.6 days,HIGH,0.5 days,HIGH,1.0 days,20.0%,0.0%,,0.5 days
Krishnapatnam,https://www.marinetraffic.com/en/ais/details/ports/1317/name=Krishnapatnam,17,0.6 days,HIGH,3.8 days,HIGH,0.7 days,-33.3%,-17.4%,,2.2 days
Kolkata,https://www.marinetraffic.com/en/ais/details/ports/2806/name=Kolkata,17,0.9 days,LOW,3.5 days,LOW,0.5 days,0.0%,25.0%,,5.8 days
Kochi,https://www.marinetraffic.com/en/ais/details/ports/2990/name=Kochi,17,0.5 days,HIGH,1.1 days,HIGH,2.0 days,25.0%,0.0%,,10.7 days
Kattupalli,https://www.marinetraffic.com/en/ais/details/ports/18979/name=Kattupalli,17,MEDIUM,1.0 days,MEDIUM,0.0%,,-,-,-,0.5 days
Karwar,https://www.marinetraffic.com/en/ais/details/ports/557/name=Karwar,17,0.7 days,MEDIUM,1.4 days,MEDIUM,0.6 days,600.0%,16.7%,,0.4 days
Karaikal,https://www.marinetraffic.com/en/ais/details/ports/18978/name=Karaikal,17,LOW,2.8 days,LOW,86.7%,,-,-,-,1.1 days
Kandla,https://www.marinetraffic.com/en/ais/details/ports/269/name=Kandla,17,2.5 days,LOW,2.5 days,LOW,7.4 days,38.9%,56.3%,,3.5 days
Kakinada,https://www.marinetraffic.com/en/ais/details/ports/18914/name=Kakinada,17,0.6 days,LOW,2.7 days,LOW,2.0 days,100.0%,-22.9%,,5.8 days
Jaigad,https://www.marinetraffic.com/en/ais/details/ports/18951/name=Jaigad,17,4.9 days,HIGH,0.9 days,HIGH,2.8 days,-12.5%,0.0%,,2.5 days
Jafrabad,https://www.marinetraffic.com/en/ais/details/ports/3078/name=Jafrabad,17,0.1 days,LOW,0.3 days,LOW,0.3 days,-80.0%,-40.0%,,0.3 days
Hazira,https://www.marinetraffic.com/en/ais/details/ports/537/name=Hazira,17,0.8 days,MEDIUM,1.0 days,MEDIUM,1.7 days,-11.1%,0.0%,,1.3 days
Haldia,https://www.marinetraffic.com/en/ais/details/ports/18985/name=Haldia,17,0.6 days,HIGH,2.0 days,HIGH,3.2 days,-25.0%,0.0%,,7.5 days
Gangavaram,https://www.marinetraffic.com/en/ais/details/ports/18980/name=Gangavaram,17,0.7 days,LOW,1.9 days,LOW,0.6 days,-61.1%,-38.7%,,1.3 days
Ennore,https://www.marinetraffic.com/en/ais/details/ports/791/name=Ennore,17,2.2 days,LOW,1.4 days,LOW,1.4 days,175.0%,-30.0%,,0.8 days
Dharamtar,https://www.marinetraffic.com/en/ais/details/ports/21601/name=Dharamtar,17,0.7 days,LOW,0.6 days,LOW,0.6 days,-12.5%,20.0%,,0.4 days
Dhamra,https://www.marinetraffic.com/en/ais/details/ports/20607/name=Dhamra,17,1.0 days,LOW,2.8 days,LOW,0.8 days,-16.7%,33.3%,,1.7 days
Dahej,https://www.marinetraffic.com/en/ais/details/ports/535/name=Dahej,17,LOW,1.2 days,LOW,-25.0%,,-,-,-,1.6 days
Dabhol,https://www.marinetraffic.com/en/ais/details/ports/18950/name=Dabhol,17,MEDIUM,1.2 days,MEDIUM,-7.7%,,-,-,-,-
Chennai,https://www.marinetraffic.com/en/ais/details/ports/792/name=Chennai,17,0.1 days,HIGH,2.1 days,HIGH,2.9 days,-50.0%,40.0%,,5.6 days
Beypore,https://www.marinetraffic.com/en/ais/details/ports/18969/name=Beypore,17,0.0 days,MEDIUM,6.1 days,MEDIUM,-100.0%,-1.6%,,-,-
Visakhapatnam,https://www.marinetraffic.com/en/ais/details/ports/3048/name=Visakhapatnam,16,0.8 days,HIGH,2.8 days,HIGH,2.0 days,0.0%,27.3%,,1.9 days
Vadinar,https://www.marinetraffic.com/en/ais/details/ports/559/name=Vadinar,16,0.6 days,LOW,1.6 days,LOW,2.6 days,-33.3%,23.1%,,0.5 days
Tuticorin,https://www.marinetraffic.com/en/ais/details/ports/2986/name=Tuticorin,16,0.8 days,LOW,1.6 days,LOW,2.0 days,100.0%,-15.8%,,3.5 days
Sikka,https://www.marinetraffic.com/en/ais/details/ports/560/name=Sikka,16,2.7 days,HIGH,1.5 days,HIGH,3.1 days,50.0%,-6.3%,,0.9 days
Ratnagiri,https://www.marinetraffic.com/en/ais/details/ports/18952/name=Ratnagiri,16,0.8 days,LOW,1.9 days,LOW,0.2 days,-20.0%,18.8%,,0.1 days
Ranpar,https://www.marinetraffic.com/en/ais/details/ports/18953/name=Ranpar,16,2.6 days,MEDIUM,1.4 days,MEDIUM,1.7 days,7.7%,,-,0.4 days
Port blair,https://www.marinetraffic.com/en/ais/details/ports/21891/name=Port-blair,16,LOW,4.4 days,LOW,46.7%,,-,-,-,1.2 days
Porbandar,https://www.marinetraffic.com/en/ais/details/ports/538/name=Porbandar,16,1.0 days,LOW,4.0 days,LOW,2.0 days,42.9%,185.7%,,1.6 days
Pipavav,https://www.marinetraffic.com/en/ais/details/ports/533/name=Pipavav,16,1.3 days,LOW,0.6 days,LOW,1.5 days,550.0%,-33.3%,,0.9 days
Paradip,https://www.marinetraffic.com/en/ais/details/ports/17379/name=Paradip,16,2.3 days,LOW,1.8 days,LOW,3.9 days,-34.3%,5.9%,,1.7 days
Okha,https://www.marinetraffic.com/en/ais/details/ports/558/name=Okha,16,4.9 days,MEDIUM,3.1 days,MEDIUM,-5.8%,3.3%,,-,-
Nhava sheva,https://www.marinetraffic.com/en/ais/details/ports/2713/name=Nhava-sheva,16,0.8 days,HIGH,1.0 days,HIGH,2.5 days,60.0%,0.0%,,1.5 days
Navlakhi,https://www.marinetraffic.com/en/ais/details/ports/21448/name=Navlakhi,16,0.7 days,MEDIUM,0.1 days,MEDIUM,0.6 days,-68.2%,-93.8%,,0.2 days
Mundra,https://www.marinetraffic.com/en/ais/details/ports/268/name=Mundra,16,0.3 days,LOW,1.0 days,LOW,1.4 days,50.0%,-9.1%,,1.1 days
Mumbai,https://www.marinetraffic.com/en/ais/details/ports/2341/name=Mumbai,16,1.2 days,HIGH,1.4 days,HIGH,2.7 days,300.0%,-26.3%,,4.8 days
Mormugao,https://www.marinetraffic.com/en/ais/details/ports/561/name=Mormugao,16,0.3 days,LOW,2.7 days,LOW,1.7 days,200.0%,58.8%,,1.5 days
Mangalore,https://www.marinetraffic.com/en/ais/details/ports/17383/name=Mangalore,16,1.3 days,HIGH,1.6 days,HIGH,2.3 days,30.0%,6.7%,,1.5 days
Magdalla,https://www.marinetraffic.com/en/ais/details/ports/19704/name=Magdalla,16,0.5 days,HIGH,0.5 days,HIGH,0.2 days,-28.6%,0.0%,,0.4 days
Krishnapatnam,https://www.marinetraffic.com/en/ais/details/ports/1317/name=Krishnapatnam,16,0.9 days,LOW,4.6 days,LOW,1.9 days,0.0%,91.7%,,5.4 days
Kolkata,https://www.marinetraffic.com/en/ais/details/ports/2806/name=Kolkata,16,0.9 days,LOW,2.8 days,LOW,0.3 days,-30.8%,0.0%,,12.4 days
Kochi,https://www.marinetraffic.com/en/ais/details/ports/2990/name=Kochi,16,0.4 days,LOW,1.1 days,LOW,1.4 days,100.0%,10.0%,,3.0 days
Kattupalli,https://www.marinetraffic.com/en/ais/details/ports/18979/name=Kattupalli,16,0.8 days,LOW,1.0 days,LOW,0.8 days,300.0%,42.9%,,1.3 days
Karwar,https://www.marinetraffic.com/en/ais/details/ports/557/name=Karwar,16,0.1 days,LOW,1.2 days,LOW,0.1 days,-91.7%,-33.3%,,0.4 days
Karaikal,https://www.marinetraffic.com/en/ais/details/ports/18978/name=Karaikal,16,0.1 days,LOW,1.5 days,LOW,-83.3%,-21.1%,,-,0.9 days
Kandla,https://www.marinetraffic.com/en/ais/details/ports/269/name=Kandla,16,1.8 days,LOW,1.6 days,LOW,8.2 days,0.0%,6.7%,,1.7 days
Kakinada,https://www.marinetraffic.com/en/ais/details/ports/18914/name=Kakinada,16,0.3 days,MEDIUM,3.5 days,MEDIUM,0.9 days,-62.5%,6.1%,,4.4 days
Jaigad,https://www.marinetraffic.com/en/ais/details/ports/18951/name=Jaigad,16,5.6 days,LOW,0.9 days,LOW,2.5 days,100.0%,0.0%,,2.1 days
Jafrabad,https://www.marinetraffic.com/en/ais/details/ports/3078/name=Jafrabad,16,0.5 days,HIGH,0.5 days,HIGH,0.4 days,-44.4%,66.7%,,1.0 days
Hazira,https://www.marinetraffic.com/en/ais/details/ports/537/name=Hazira,16,0.9 days,HIGH,1.0 days,HIGH,2.6 days,-10.0%,-9.1%,,1.8 days
Haldia,https://www.marinetraffic.com/en/ais/details/ports/18985/name=Haldia,16,0.8 days,LOW,2.0 days,LOW,3.1 days,-20.0%,33.3%,,8.2 days
Gangavaram,https://www.marinetraffic.com/en/ais/details/ports/18980/name=Gangavaram,16,1.8 days,LOW,3.1 days,LOW,1.1 days,100.0%,40.9%,,2.4 days
Ennore,https://www.marinetraffic.com/en/ais/details/ports/791/name=Ennore,16,0.8 days,HIGH,2.0 days,HIGH,3.6 days,-60.0%,17.6%,,0.8 days
Dighi,https://www.marinetraffic.com/en/ais/details/ports/18948/name=Dighi,16,0.5 days,MEDIUM,2.0 days,MEDIUM,66.7%,0.0%,,-,-
Dharamtar,https://www.marinetraffic.com/en/ais/details/ports/21601/name=Dharamtar,16,0.8 days,HIGH,0.5 days,HIGH,2.1 days,14.3%,-16.7%,,1.8 days
Dhamra,https://www.marinetraffic.com/en/ais/details/ports/20607/name=Dhamra,16,1.2 days,MEDIUM,2.1 days,MEDIUM,1.3 days,20.0%,-12.5%,,1.7 days
Dahej,https://www.marinetraffic.com/en/ais/details/ports/535/name=Dahej,16,1.7 days,LOW,1.6 days,LOW,2.0 days,750.0%,14.3%,,1.1 days
Cuddalore,https://www.marinetraffic.com/en/ais/details/ports/24893/name=Cuddalore,16,MEDIUM,1.1 days,MEDIUM,-15.4%,,-,-,-,0.2 days
Chennai,https://www.marinetraffic.com/en/ais/details/ports/792/name=Chennai,16,0.2 days,LOW,1.5 days,LOW,1.7 days,100.0%,7.1%,,5.8 days
Bhavnagar new port,https://www.marinetraffic.com/en/ais/details/ports/22247/name=Bhavnagar-new-port,16,0.3 days,MEDIUM,0.1 days,MEDIUM,0.1 days,0.0%,0.0%,,0.2 days
Beypore,https://www.marinetraffic.com/en/ais/details/ports/18969/name=Beypore,16,0.5 days,MEDIUM,6.2 days,MEDIUM,0.5 days,-42.1%,,-,2.8 days
Visakhapatnam,https://www.marinetraffic.com/en/ais/details/ports/3048/name=Visakhapatnam,15,0.8 days,LOW,2.2 days,LOW,3.2 days,33.3%,-4.3%,,2.7 days
Vadinar,https://www.marinetraffic.com/en/ais/details/ports/559/name=Vadinar,15,0.9 days,MEDIUM,1.3 days,MEDIUM,2.1 days,80.0%,0.0%,,0.7 days
Tuticorin,https://www.marinetraffic.com/en/ais/details/ports/2986/name=Tuticorin,15,0.4 days,HIGH,1.9 days,HIGH,1.4 days,-20.0%,18.8%,,1.4 days
Sikka,https://www.marinetraffic.com/en/ais/details/ports/560/name=Sikka,15,1.8 days,LOW,1.6 days,LOW,1.6 days,-5.3%,14.3%,,0.8 days
Ratnagiri,https://www.marinetraffic.com/en/ais/details/ports/18952/name=Ratnagiri,15,1.0 days,LOW,1.6 days,LOW,0.2 days,11.1%,166.7%,,0.5 days
Port blair,https://www.marinetraffic.com/en/ais/details/ports/21891/name=Port-blair,15,MEDIUM,3.0 days,MEDIUM,-9.1%,,-,-,-,-
Porbandar,https://www.marinetraffic.com/en/ais/details/ports/538/name=Porbandar,15,0.7 days,LOW,1.4 days,LOW,1.6 days,-69.6%,-36.4%,,1.4 days
Pipavav,https://www.marinetraffic.com/en/ais/details/ports/533/name=Pipavav,15,0.2 days,LOW,0.9 days,LOW,0.8 days,-33.3%,80.0%,,1.7 days
Paradip,https://www.marinetraffic.com/en/ais/details/ports/17379/name=Paradip,15,3.5 days,LOW,1.7 days,LOW,3.0 days,84.2%,-5.6%,,1.0 days
Okha,https://www.marinetraffic.com/en/ais/details/ports/558/name=Okha,15,5.2 days,MEDIUM,3.0 days,MEDIUM,3.0 days,26.8%,0.0%,,1.3 days
Nhava sheva,https://www.marinetraffic.com/en/ais/details/ports/2713/name=Nhava-sheva,15,0.5 days,HIGH,1.0 days,HIGH,3.3 days,66.7%,0.0%,,4.1 days
Navlakhi,https://www.marinetraffic.com/en/ais/details/ports/21448/name=Navlakhi,15,2.2 days,HIGH,1.6 days,HIGH,0.5 days,-18.5%,433.3%,,6.1 days
Mundra,https://www.marinetraffic.com/en/ais/details/ports/268/name=Mundra,15,0.2 days,LOW,1.1 days,LOW,1.4 days,100.0%,10.0%,,1.2 days
Mumbai,https://www.marinetraffic.com/en/ais/details/ports/2341/name=Mumbai,15,0.8 days,LOW,1.8 days,LOW,1.4 days,166.7%,-18.2%,,19.2 days
Mormugao,https://www.marinetraffic.com/en/ais/details/ports/561/name=Mormugao,15,0.1 days,LOW,1.7 days,LOW,0.7 days,-90.9%,-32.0%,,1.3 days
Mangalore,https://www.marinetraffic.com/en/ais/details/ports/17383/name=Mangalore,15,1.0 days,LOW,1.5 days,LOW,3.8 days,25.0%,-11.8%,,1.1 days
Magdalla,https://www.marinetraffic.com/en/ais/details/ports/19704/name=Magdalla,15,0.7 days,HIGH,0.5 days,HIGH,0.3 days,133.3%,-16.7%,,2.1 days
Krishnapatnam,https://www.marinetraffic.com/en/ais/details/ports/1317/name=Krishnapatnam,15,0.9 days,LOW,2.4 days,LOW,1.3 days,0.0%,-14.3%,,1.7 days
Kolkata,https://www.marinetraffic.com/en/ais/details/ports/2806/name=Kolkata,15,1.3 days,LOW,2.8 days,LOW,0.6 days,8.3%,-15.2%,,3.7 days
Kochi,https://www.marinetraffic.com/en/ais/details/ports/2990/name=Kochi,15,0.2 days,LOW,1.0 days,LOW,2.0 days,-50.0%,-16.7%,,0.7 days
Kattupalli,https://www.marinetraffic.com/en/ais/details/ports/18979/name=Kattupalli,15,0.2 days,MEDIUM,0.7 days,MEDIUM,0.5 days,-33.3%,16.7%,,5.4 days
Karwar,https://www.marinetraffic.com/en/ais/details/ports/557/name=Karwar,15,1.2 days,MEDIUM,1.8 days,MEDIUM,1.2 days,100.0%,-21.7%,,1.1 days
Karaikal,https://www.marinetraffic.com/en/ais/details/ports/18978/name=Karaikal,15,0.6 days,MEDIUM,1.9 days,MEDIUM,0.6 days,-85.7%,0.0%,,0.3 days
Kandla,https://www.marinetraffic.com/en/ais/details/ports/269/name=Kandla,15,1.8 days,HIGH,1.5 days,HIGH,3.3 days,-14.3%,-21.1%,,3.1 days
Kakinada,https://www.marinetraffic.com/en/ais/details/ports/18914/name=Kakinada,15,0.8 days,LOW,3.3 days,LOW,4.1 days,60.0%,-36.5%,,4.7 days
Jaigad,https://www.marinetraffic.com/en/ais/details/ports/18951/name=Jaigad,15,2.8 days,LOW,0.9 days,LOW,4.0 days,-37.8%,80.0%,,1.8 days
Jafrabad,https://www.marinetraffic.com/en/ais/details/ports/3078/name=Jafrabad,15,0.9 days,LOW,0.3 days,LOW,0.3 days,-60.9%,-40.0%,,0.2 days
Hazira,https://www.marinetraffic.com/en/ais/details/ports/537/name=Hazira,15,1.0 days,LOW,1.1 days,LOW,2.5 days,0.0%,10.0%,,2.4 days
Haldia,https://www.marinetraffic.com/en/ais/details/ports/18985/name=Haldia,15,1.0 days,LOW,1.5 days,LOW,1.7 days,66.7%,-21.1%,,3.3 days
Gangavaram,https://www.marinetraffic.com/en/ais/details/ports/18980/name=Gangavaram,15,0.9 days,LOW,2.2 days,LOW,3.1 days,,-,-,2.3 days
Ennore,https://www.marinetraffic.com/en/ais/details/ports/791/name=Ennore,15,2.0 days,HIGH,1.7 days,HIGH,1.7 days,566.7%,21.4%,,1.1 days
Dharamtar,https://www.marinetraffic.com/en/ais/details/ports/21601/name=Dharamtar,15,0.7 days,LOW,0.6 days,LOW,0.7 days,-12.5%,20.0%,,0.5 days
Dhamra,https://www.marinetraffic.com/en/ais/details/ports/20607/name=Dhamra,15,1.0 days,LOW,2.4 days,LOW,1.4 days,0.0%,33.3%,,1.4 days
Dahej,https://www.marinetraffic.com/en/ais/details/ports/535/name=Dahej,15,0.6 days,MEDIUM,1.4 days,MEDIUM,1.8 days,200.0%,0.0%,,1.0 days
Dabhol,https://www.marinetraffic.com/en/ais/details/ports/18950/name=Dabhol,15,1.7 days,LOW,1.3 days,LOW,0.0%,8.3%,,-,0.1 days
Cuddalore,https://www.marinetraffic.com/en/ais/details/ports/24893/name=Cuddalore,15,1.5 days,MEDIUM,1.3 days,MEDIUM,30.0%,,-,-,-
Chennai,https://www.marinetraffic.com/en/ais/details/ports/792/name=Chennai,15,0.1 days,LOW,1.4 days,LOW,1.9 days,0.0%,-33.3%,,3.9 days
Bhavnagar new port,https://www.marinetraffic.com/en/ais/details/ports/22247/name=Bhavnagar-new-port,15,0.3 days,HIGH,0.1 days,HIGH,0.1 days,-25.0%,0.0%,,0.0 days
Beypore,https://www.marinetraffic.com/en/ais/details/ports/18969/name=Beypore,15,0.3 days,MEDIUM,3.4 days,MEDIUM,0.1 days,-68.2%,,-,1.6 days
Visakhapatnam,https://www.marinetraffic.com/en/ais/details/ports/3048/name=Visakhapatnam,14,0.6 days,HIGH,2.3 days,HIGH,3.5 days,0.0%,15.0%,,2.3 days
Vadinar,https://www.marinetraffic.com/en/ais/details/ports/559/name=Vadinar,14,0.5 days,HIGH,1.3 days,HIGH,1.6 days,0.0%,-7.1%,,0.5 days
Tuticorin,https://www.marinetraffic.com/en/ais/details/ports/2986/name=Tuticorin,14,0.3 days,LOW,1.3 days,LOW,1.2 days,-25.0%,-35.0%,,2.0 days
Sikka,https://www.marinetraffic.com/en/ais/details/ports/560/name=Sikka,14,1.9 days,MEDIUM,1.4 days,MEDIUM,2.0 days,46.1%,0.0%,,0.6 days
Ratnagiri,https://www.marinetraffic.com/en/ais/details/ports/18952/name=Ratnagiri,14,0.9 days,MEDIUM,0.6 days,MEDIUM,-25.0%,-33.3%,,-,0.1 days
Ranpar,https://www.marinetraffic.com/en/ais/details/ports/18953/name=Ranpar,14,MEDIUM,1.3 days,MEDIUM,0.0%,,-,-,-,-
Port blair,https://www.marinetraffic.com/en/ais/details/ports/21891/name=Port-blair,14,MEDIUM,3.3 days,MEDIUM,-26.7%,,-,-,-,-
Porbandar,https://www.marinetraffic.com/en/ais/details/ports/538/name=Porbandar,14,3.8 days,LOW,3.0 days,LOW,171.4%,114.3%,,-,-
Pipavav,https://www.marinetraffic.com/en/ais/details/ports/533/name=Pipavav,14,0.3 days,LOW,0.5 days,LOW,0.3 days,50.0%,-44.4%,,3.8 days
Paradip,https://www.marinetraffic.com/en/ais/details/ports/17379/name=Paradip,14,3.8 days,HIGH,1.9 days,HIGH,3.1 days,65.2%,5.6%,,1.3 days
Okha,https://www.marinetraffic.com/en/ais/details/ports/558/name=Okha,14,4.1 days,MEDIUM,3.0 days,MEDIUM,-22.6%,-3.2%,,-,-
Nhava sheva,https://www.marinetraffic.com/en/ais/details/ports/2713/name=Nhava-sheva,14,0.3 days,LOW,1.0 days,LOW,4.7 days,-25.0%,0.0%,,2.4 days
Navlakhi,https://www.marinetraffic.com/en/ais/details/ports/21448/name=Navlakhi,14,2.7 days,MEDIUM,0.3 days,MEDIUM,-6.9%,-90.6%,,-,-
Mundra,https://www.marinetraffic.com/en/ais/details/ports/268/name=Mundra,14,0.1 days,HIGH,1.0 days,HIGH,0.4 days,-50.0%,0.0%,,1.3 days
Mumbai,https://www.marinetraffic.com/en/ais/details/ports/2341/name=Mumbai,14,0.3 days,LOW,2.2 days,LOW,2.3 days,0.0%,15.8%,,24.2 days
Mormugao,https://www.marinetraffic.com/en/ais/details/ports/561/name=Mormugao,14,1.1 days,MEDIUM,2.5 days,MEDIUM,7.1 days,-35.3%,-3.9%,,4.6 days
Mangalore,https://www.marinetraffic.com/en/ais/details/ports/17383/name=Mangalore,14,0.8 days,HIGH,1.7 days,HIGH,0.9 days,-11.1%,-5.6%,,1.3 days
Magdalla,https://www.marinetraffic.com/en/ais/details/ports/19704/name=Magdalla,14,0.3 days,LOW,0.6 days,LOW,0.3 days,-62.5%,20.0%,,0.4 days
Krishnapatnam,https://www.marinetraffic.com/en/ais/details/ports/1317/name=Krishnapatnam,14,0.9 days,HIGH,2.8 days,HIGH,1.5 days,0.0%,12.0%,,4.9 days
Kolkata,https://www.marinetraffic.com/en/ais/details/ports/2806/name=Kolkata,14,1.2 days,LOW,3.3 days,LOW,0.5 days,9.1%,13.8%,,3.1 days
Kochi,https://www.marinetraffic.com/en/ais/details/ports/2990/name=Kochi,14,0.4 days,HIGH,1.2 days,HIGH,2.5 days,-50.0%,20.0%,,2.7 days
Kattupalli,https://www.marinetraffic.com/en/ais/details/ports/18979/name=Kattupalli,14,0.3 days,LOW,0.6 days,LOW,0.5 days,0.0%,-25.0%,,0.4 days
Karwar,https://www.marinetraffic.com/en/ais/details/ports/557/name=Karwar,14,1.6 days,MEDIUM,1.4 days,MEDIUM,-38.5%,-54.8%,,-,0.5 days
Karaikal,https://www.marinetraffic.com/en/ais/details/ports/18978/name=Karaikal,14,4.2 days,MEDIUM,1.9 days,MEDIUM,500.0%,11.8%,,-,0.1 days
Kandla,https://www.marinetraffic.com/en/ais/details/ports/269/name=Kandla,14,2.1 days,LOW,1.9 days,LOW,3.3 days,61.5%,-5.0%,,3.0 days
Kakinada,https://www.marinetraffic.com/en/ais/details/ports/18914/name=Kakinada,14,0.5 days,LOW,5.2 days,LOW,2.8 days,-50.0%,36.8%,,6.6 days
Jaigad,https://www.marinetraffic.com/en/ais/details/ports/18951/name=Jaigad,14,4.5 days,LOW,0.5 days,LOW,2.7 days,462.5%,-37.5%,,1.9 days
Jafrabad,https://www.marinetraffic.com/en/ais/details/ports/3078/name=Jafrabad,14,2.3 days,HIGH,0.5 days,HIGH,1.1 days,91.7%,0.0%,,0.3 days
Hazira,https://www.marinetraffic.com/en/ais/details/ports/537/name=Hazira,14,1.0 days,LOW,1.0 days,LOW,2.7 days,-9.1%,-9.1%,,1.2 days
Haldia,https://www.marinetraffic.com/en/ais/details/ports/18985/name=Haldia,14,0.6 days,LOW,1.9 days,LOW,1.8 days,-33.3%,-5.0%,,1.5 days
Gangavaram,https://www.marinetraffic.com/en/ais/details/ports/18980/name=Gangavaram,14,0.1 days,LOW,3.1 days,LOW,0.6 days,-92.3%,10.7%,,1.6 days
Ennore,https://www.marinetraffic.com/en/ais/details/ports/791/name=Ennore,14,0.3 days,LOW,1.4 days,LOW,0.8 days,0.0%,7.7%,,1.1 days
Dighi,https://www.marinetraffic.com/en/ais/details/ports/18948/name=Dighi,14,1.0 days,MEDIUM,1.2 days,MEDIUM,150.0%,20.0%,,-,-
Dharamtar,https://www.marinetraffic.com/en/ais/details/ports/21601/name=Dharamtar,14,0.8 days,LOW,0.5 days,LOW,1.6 days,0.0%,0.0%,,3.3 days
Dhamra,https://www.marinetraffic.com/en/ais/details/ports/20607/name=Dhamra,14,2.6 days,MEDIUM,2.0 days,MEDIUM,1.9 days,160.0%,11.1%,,0.7 days
Dahej,https://www.marinetraffic.com/en/ais/details/ports/535/name=Dahej,14,0.2 days,LOW,1.4 days,LOW,1.3 days,-88.9%,27.3%,,1.6 days
Chennai,https://www.marinetraffic.com/en/ais/details/ports/792/name=Chennai,14,0.1 days,HIGH,2.1 days,HIGH,0.5 days,-50.0%,-8.7%,,5.1 days
Bhavnagar new port,https://www.marinetraffic.com/en/ais/details/ports/22247/name=Bhavnagar-new-port,14,0.4 days,HIGH,0.1 days,HIGH,0.2 days,0.0%,0.0%,,0.1 days
Beypore,https://www.marinetraffic.com/en/ais/details/ports/18969/name=Beypore,14,LOW,10.7 days,LOW,409.5%,,-,-,-,22.0 days
Visakhapatnam,https://www.marinetraffic.com/en/ais/details/ports/3048/name=Visakhapatnam,13,1.0 days,LOW,2.3 days,LOW,3.1 days,66.7%,4.5%,,3.0 days
Vadinar,https://www.marinetraffic.com/en/ais/details/ports/559/name=Vadinar,13,0.5 days,LOW,1.4 days,LOW,4.0 days,66.7%,7.7%,,0.4 days
Tuticorin,https://www.marinetraffic.com/en/ais/details/ports/2986/name=Tuticorin,13,0.4 days,HIGH,2.0 days,HIGH,1.6 days,0.0%,17.6%,,1.4 days
Sikka,https://www.marinetraffic.com/en/ais/details/ports/560/name=Sikka,13,1.3 days,HIGH,1.4 days,HIGH,2.1 days,-31.6%,0.0%,,0.6 days
Ratnagiri,https://www.marinetraffic.com/en/ais/details/ports/18952/name=Ratnagiri,13,1.2 days,LOW,0.9 days,LOW,33.3%,-18.2%,,-,0.1 days
Ranpar,https://www.marinetraffic.com/en/ais/details/ports/18953/name=Ranpar,13,1.1 days,MEDIUM,1.3 days,MEDIUM,0.3 days,0.0%,-13.3%,,0.9 days
Port blair,https://www.marinetraffic.com/en/ais/details/ports/21891/name=Port-blair,13,MEDIUM,4.5 days,MEDIUM,-13.5%,,-,-,-,-
Porbandar,https://www.marinetraffic.com/en/ais/details/ports/538/name=Porbandar,13,1.6 days,MEDIUM,2.0 days,MEDIUM,2.3 days,-20.0%,-4.8%,,1.4 days
Pipavav,https://www.marinetraffic.com/en/ais/details/ports/533/name=Pipavav,13,0.2 days,LOW,0.9 days,LOW,0.8 days,-33.3%,28.6%,,1.5 days
Paradip,https://www.marinetraffic.com/en/ais/details/ports/17379/name=Paradip,13,2.3 days,MEDIUM,1.8 days,MEDIUM,3.1 days,21.1%,0.0%,,1.3 days
Nhava sheva,https://www.marinetraffic.com/en/ais/details/ports/2713/name=Nhava-sheva,13,0.3 days,LOW,0.9 days,LOW,1.9 days,-25.0%,-10.0%,,2.4 days
Navlakhi,https://www.marinetraffic.com/en/ais/details/ports/21448/name=Navlakhi,13,2.9 days,MEDIUM,3.2 days,MEDIUM,222.2%,128.6%,,-,-
Mundra,https://www.marinetraffic.com/en/ais/details/ports/268/name=Mundra,13,0.2 days,HIGH,1.0 days,HIGH,0.6 days,100.0%,0.0%,,1.2 days
Mumbai,https://www.marinetraffic.com/en/ais/details/ports/2341/name=Mumbai,13,0.3 days,LOW,1.9 days,LOW,10.3 days,-50.0%,11.8%,,20.5 days
Mormugao,https://www.marinetraffic.com/en/ais/details/ports/561/name=Mormugao,13,1.7 days,LOW,2.6 days,LOW,3.2 days,13.3%,62.5%,,2.6 days
